Rk,Team,Date,Unnamed: 3,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB
1,LAA,2025-05-30,@,CLE,"W, 4-1",42,38,4,13,10,2,0,1,3,0,1,4,10,0.342,0.405,0.474,0.878,18,1,0,0,0,0
2,ARI,2025-05-30,,WSN,"L, 7-9",40,36,7,12,8,4,0,0,7,1,0,3,5,0.333,0.4,0.444,0.844,16,2,1,0,0,0
3,ATL,2025-05-30,,BOS,"L, 1-5",37,33,1,6,5,1,0,0,1,0,0,3,8,0.182,0.27,0.212,0.482,7,0,1,0,0,0
4,BAL,2025-05-30,,CHW,"W, 2-1",32,29,2,7,6,1,0,0,1,3,0,1,8,0.241,0.281,0.276,0.557,8,1,1,0,1,0
5,BOS,2025-05-30,@,ATL,"W, 5-1",40,38,5,11,8,2,0,1,5,0,0,2,14,0.289,0.325,0.421,0.746,16,0,0,0,0,0
6,CHC,2025-05-30,,CIN,"L, 2-6",34,32,2,6,2,3,1,0,2,0,0,2,9,0.188,0.235,0.344,0.579,11,1,0,0,0,0
7,CHW,2025-05-30,@,BAL,"L, 1-2",33,31,1,6,4,2,0,0,1,0,1,2,9,0.194,0.242,0.258,0.5,8,1,0,0,0,0
8,CIN,2025-05-30,@,CHC,"W, 6-2",38,34,6,10,6,1,0,3,6,1,0,4,7,0.294,0.368,0.588,0.957,20,3,0,0,0,0
9,CLE,2025-05-30,,LAA,"L, 1-4",37,30,1,6,6,0,0,0,1,0,0,7,5,0.2,0.351,0.2,0.551,6,3,0,0,0,0
10,COL,2025-05-30,@,NYM,"L, 2-4",35,33,2,6,4,1,0,1,2,0,0,1,11,0.182,0.229,0.303,0.532,10,0,1,0,0,0
11,DET,2025-05-30,@,KCR,"W, 7-5",41,38,7,11,7,1,0,3,7,1,0,3,12,0.289,0.341,0.553,0.894,21,1,0,0,0,0
12,MIA,2025-05-30,,SFG,"L, 0-2",37,28,0,3,2,1,0,0,0,0,0,7,11,0.107,0.306,0.143,0.448,4,0,1,1,0,0
13,HOU,2025-05-30,,TBR,"W, 2-1",32,31,2,7,5,1,0,1,1,1,0,1,8,0.226,0.25,0.355,0.605,11,1,0,0,0,0
14,KCR,2025-05-30,,DET,"L, 5-7",43,37,5,12,9,1,1,1,5,0,0,5,10,0.324,0.395,0.486,0.882,18,1,0,0,1,1
15,LAD,2025-05-30,,NYY,"W, 8-5",37,35,8,12,7,3,0,2,8,0,0,2,4,0.343,0.378,0.6,0.978,21,2,0,0,0,1
16,MIL,2025-05-30,@,PHI,"W, 6-2",43,39,6,12,7,3,0,2,6,5,0,4,13,0.308,0.372,0.538,0.911,21,0,0,0,0,0
17,MIN,2025-05-30,@,SEA,"W, 12-6 (10)",48,44,12,14,8,2,0,4,12,1,0,4,7,0.318,0.375,0.636,1.011,28,0,0,0,0,0
18,NYM,2025-05-30,,COL,"W, 4-2",31,31,4,9,4,2,0,3,4,0,0,0,5,0.29,0.29,0.645,0.935,20,2,0,0,0,0
19,NYY,2025-05-30,@,LAD,"L, 5-8",40,35,5,9,4,1,0,4,5,0,0,4,6,0.257,0.35,0.629,0.979,22,1,1,0,0,0
20,ATH,2025-05-30,@,TOR,"L, 7-11",38,33,7,10,5,3,0,2,7,1,0,4,8,0.303,0.395,0.576,0.97,19,3,1,0,0,0
21,PHI,2025-05-30,,MIL,"L, 2-6",32,31,2,4,1,2,0,1,2,0,0,1,4,0.129,0.156,0.29,0.447,9,0,0,0,0,0
22,PIT,2025-05-30,@,SDP,"L, 2-3",35,33,2,7,6,1,0,0,2,0,0,2,14,0.212,0.257,0.242,0.5,8,1,0,0,0,0
23,SDP,2025-05-30,,PIT,"W, 3-2",29,27,3,3,1,2,0,0,3,0,0,2,3,0.111,0.172,0.185,0.358,5,1,0,0,0,0
24,SEA,2025-05-30,,MIN,"L, 6-12 (10)",39,38,6,9,6,0,0,3,6,0,0,1,8,0.237,0.256,0.474,0.73,18,1,0,0,0,0
25,SFG,2025-05-30,@,MIA,"W, 2-0",39,37,2,11,7,2,1,1,2,3,0,1,12,0.297,0.333,0.486,0.82,18,0,1,0,0,0
26,STL,2025-05-30,@,TEX,"L, 1-11",34,31,1,5,4,1,0,0,1,0,0,2,10,0.161,0.235,0.194,0.429,6,1,1,0,0,0
27,TBR,2025-05-30,@,HOU,"L, 1-2",29,28,1,3,2,0,0,1,1,0,1,1,9,0.107,0.138,0.214,0.352,6,1,0,0,0,0
28,TEX,2025-05-30,,STL,"W, 11-1",42,38,11,15,12,0,1,2,11,1,0,3,7,0.395,0.452,0.605,1.058,23,2,1,0,0,0
29,TOR,2025-05-30,,ATH,"W, 11-7",49,37,11,15,10,3,0,2,11,1,0,11,4,0.405,0.531,0.649,1.179,24,1,0,0,1,1
30,WSN,2025-05-30,@,ARI,"W, 9-7",43,37,9,11,7,1,1,2,9,0,0,6,8,0.297,0.395,0.541,0.936,20,1,0,0,0,0
31,ATL,2025-05-29 (2),@,PHI,"W, 9-3",43,35,9,8,4,2,0,2,9,0,0,8,7,0.229,0.372,0.457,0.829,16,0,0,0,0,0
32,PHI,2025-05-29 (2),,ATL,"L, 3-9",39,34,3,7,5,2,0,0,3,0,0,4,12,0.206,0.308,0.265,0.572,9,0,1,0,0,0
33,ATL,2025-05-29 (1),@,PHI,"L, 4-5",42,37,4,13,10,2,0,1,4,0,2,5,8,0.351,0.429,0.486,0.915,18,1,0,0,0,0
34,PHI,2025-05-29 (1),,ATL,"W, 5-4",38,31,5,10,8,0,0,2,5,1,1,4,7,0.323,0.432,0.516,0.949,16,1,2,1,0,0
35,HOU,2025-05-29,,TBR,"L, 3-13",35,35,3,8,4,2,0,2,3,2,0,0,7,0.229,0.229,0.457,0.686,16,1,0,0,0,0
36,ATH,2025-05-29,@,TOR,"L, 0-12",32,30,0,4,3,1,0,0,0,0,0,2,13,0.133,0.188,0.167,0.354,5,1,0,0,0,0
37,SEA,2025-05-29,,WSN,"L, 3-9 (10)",40,35,3,7,7,0,0,0,3,4,1,3,11,0.2,0.3,0.2,0.5,7,1,2,0,0,0
38,TBR,2025-05-29,@,HOU,"W, 13-3",50,40,13,14,8,5,0,1,12,5,0,6,11,0.35,0.46,0.55,1.01,22,0,3,0,1,0
39,TOR,2025-05-29,,ATH,"W, 12-0",47,41,12,18,11,3,0,4,12,1,0,5,3,0.439,0.489,0.805,1.294,33,0,0,0,1,0
40,WSN,2025-05-29,@,SEA,"W, 9-3 (10)",44,39,9,12,8,3,0,1,9,1,1,4,8,0.308,0.364,0.462,0.825,18,1,0,0,1,1
41,LAA,2025-05-28,,NYY,"L, 0-1",33,30,0,5,4,1,0,0,0,0,0,2,8,0.167,0.219,0.2,0.419,6,1,0,1,0,0
42,ARI,2025-05-28,,PIT,"L, 1-10",36,34,1,6,4,1,0,1,1,0,0,1,11,0.176,0.222,0.294,0.516,10,0,1,0,0,0
43,BAL,2025-05-28,,STL,"L, 4-6",41,39,4,12,9,3,0,0,3,1,0,2,9,0.308,0.341,0.385,0.726,15,0,0,0,0,0
44,BOS,2025-05-28,@,MIL,"L, 5-6 (10)",45,38,5,9,7,0,0,2,5,1,0,5,13,0.237,0.341,0.395,0.736,15,0,1,1,0,1
