Rk,Player,SO,Date,Age,Team,Unnamed: 6,Opp,Result,"App,Dec",IP,H,R,ER,UER,HR,BB,IBB,SO.1,HBP,BK,WP,BF,BR,Pos
1,Tarik Skubal,13,2025-05-25,28-186,DET,,CLE,"W, 5-0","SHO, W",9.0,2,0,0,0,0,0,0,13,1,0,0,29,3,P
2,Hunter Greene,12,2025-05-02,25-269,CIN,,WSN,"W, 6-1","GS-6, W",6.0,2,1,1,0,1,2,0,12,0,0,0,22,4,P
3,Lance McCullers Jr.,12,2025-05-28,31-238,HOU,,ATH,"W, 5-3",GS-6,6.0,5,3,3,0,1,1,0,12,0,0,0,24,6,P
4,Tarik Skubal,12,2025-05-09,28-170,DET,,TEX,"W, 2-1","GS-7, W",7.0,2,1,1,0,0,0,0,12,1,0,0,24,3,P
5,Ronel Blanco,11,2025-05-11,31-253,HOU,,CIN,"W, 6-0","GS-8, W",8.0,2,0,0,0,0,1,0,11,0,0,0,27,3,P
6,Garrett Crochet,11,2025-05-26,25-339,BOS,@,MIL,"L, 2-3","GS-7, L",6.2,5,2,2,0,1,2,0,11,0,0,0,27,7,P
7,Merrill Kelly,11,2025-05-18,36-216,ARI,,COL,"W, 1-0","GS-7, W",7.0,1,0,0,0,0,3,0,11,0,0,0,24,4,P
8,Pablo López,11,2025-05-06,29-060,MIN,,BAL,"W, 9-1","GS-5, W",5.0,2,1,1,0,0,1,0,11,0,0,0,18,3,P
9,Cole Ragans,11,2025-05-05,27-144,KCR,,CHW,"W, 3-0","GS-5, W",5.0,3,0,0,0,0,2,0,11,0,0,0,20,5,P
10,Spencer Schwellenbach,11,2025-05-25,24-359,ATL,,SDP,"L, 3-5","GS-7, L",7.0,7,4,2,2,2,0,0,11,0,0,0,28,8,P
11,Tarik Skubal,11,2025-05-14,28-175,DET,,BOS,"W, 6-5",GS-7,6.1,7,5,5,0,1,1,0,11,0,0,0,27,8,P
12,Corbin Burnes,10,2025-05-16,30-206,ARI,,COL,"W, 8-0","GS-6, W",6.0,2,0,0,0,0,3,0,10,0,0,0,23,5,P
13,Edward Cabrera,10,2025-05-25,27-042,MIA,@,LAA,"W, 3-0","GS-6, W",5.2,3,0,0,0,0,2,0,10,0,0,0,21,5,P
14,Dylan Cease,10,2025-05-13,29-136,SDP,,LAA,"W, 6-4",GS-7,6.2,5,2,2,0,1,1,0,10,0,0,1,25,6,P
15,Jacob deGrom,10,2025-05-10,36-325,TEX,@,DET,"W, 10-3","GS-6, W",5.0,5,2,2,0,2,1,0,10,0,0,0,20,6,P
