event_id,home_team,away_team,commence_time,h2h_baltimore_orioles_line,h2h_baltimore_orioles_odds,h2h_st._louis_cardinals_line,h2h_st._louis_cardinals_odds,spreads_baltimore_orioles_line,spreads_baltimore_orioles_odds,spreads_st._louis_cardinals_line,spreads_st._louis_cardinals_odds,totals_over_line,totals_over_odds,totals_under_line,totals_under_odds,h2h_atlanta_braves_line,h2h_atlanta_braves_odds,h2h_philadelphia_phillies_line,h2h_philadelphia_phillies_odds,spreads_atlanta_braves_line,spreads_atlanta_braves_odds,spreads_philadelphia_phillies_line,spreads_philadelphia_phillies_odds,h2h_los_angeles_angels_line,h2h_los_angeles_angels_odds,h2h_new_york_yankees_line,h2h_new_york_yankees_odds,spreads_los_angeles_angels_line,spreads_los_angeles_angels_odds,spreads_new_york_yankees_line,spreads_new_york_yankees_odds,h2h_houston_astros_line,h2h_houston_astros_odds,h2h_oakland_athletics_line,h2h_oakland_athletics_odds,spreads_houston_astros_line,spreads_houston_astros_odds,spreads_oakland_athletics_line,spreads_oakland_athletics_odds,h2h_cincinnati_reds_line,h2h_cincinnati_reds_odds,h2h_kansas_city_royals_line,h2h_kansas_city_royals_odds,spreads_cincinnati_reds_line,spreads_cincinnati_reds_odds,spreads_kansas_city_royals_line,spreads_kansas_city_royals_odds,h2h_seattle_mariners_line,h2h_seattle_mariners_odds,h2h_washington_nationals_line,h2h_washington_nationals_odds,spreads_seattle_mariners_line,spreads_seattle_mariners_odds,spreads_washington_nationals_line,spreads_washington_nationals_odds,h2h_miami_marlins_line,h2h_miami_marlins_odds,h2h_san_diego_padres_line,h2h_san_diego_padres_odds,spreads_miami_marlins_line,spreads_miami_marlins_odds,spreads_san_diego_padres_line,spreads_san_diego_padres_odds,h2h_arizona_diamondbacks_line,h2h_arizona_diamondbacks_odds,h2h_pittsburgh_pirates_line,h2h_pittsburgh_pirates_odds,spreads_arizona_diamondbacks_line,spreads_arizona_diamondbacks_odds,spreads_pittsburgh_pirates_line,spreads_pittsburgh_pirates_odds,h2h_chicago_white_sox_line,h2h_chicago_white_sox_odds,h2h_new_york_mets_line,h2h_new_york_mets_odds,spreads_chicago_white_sox_line,spreads_chicago_white_sox_odds,spreads_new_york_mets_line,spreads_new_york_mets_odds,h2h_chicago_cubs_line,h2h_chicago_cubs_odds,h2h_colorado_rockies_line,h2h_colorado_rockies_odds,spreads_chicago_cubs_line,spreads_chicago_cubs_odds,spreads_colorado_rockies_line,spreads_colorado_rockies_odds,h2h_detroit_tigers_line,h2h_detroit_tigers_odds,h2h_san_francisco_giants_line,h2h_san_francisco_giants_odds,spreads_detroit_tigers_line,spreads_detroit_tigers_odds,spreads_san_francisco_giants_line,spreads_san_francisco_giants_odds,h2h_boston_red_sox_line,h2h_boston_red_sox_odds,h2h_milwaukee_brewers_line,h2h_milwaukee_brewers_odds,spreads_boston_red_sox_line,spreads_boston_red_sox_odds,spreads_milwaukee_brewers_line,spreads_milwaukee_brewers_odds,h2h_texas_rangers_line,h2h_texas_rangers_odds,h2h_toronto_blue_jays_line,h2h_toronto_blue_jays_odds,spreads_texas_rangers_line,spreads_texas_rangers_odds,spreads_toronto_blue_jays_line,spreads_toronto_blue_jays_odds,h2h_minnesota_twins_line,h2h_minnesota_twins_odds,h2h_tampa_bay_rays_line,h2h_tampa_bay_rays_odds,spreads_minnesota_twins_line,spreads_minnesota_twins_odds,spreads_tampa_bay_rays_line,spreads_tampa_bay_rays_odds,pitcher_props,batter_props,game_date
0d747868943922e309302f3b3088c3f2,Baltimore Orioles,St. Louis Cardinals,2025-05-28 22:36:00+00:00,,-118.0,,107.0,-1.5,165.0,1.5,-190.0,8.5,-121,8.5,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-28
1db394a833d8af603e77922440859217,Philadelphia Phillies,Atlanta Braves,2025-05-28 22:46:00+00:00,,,,,,,,,8.0,105,8.0,-125,,145.0,,-160.0,1.5,-147.0,-1.5,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-28
5328ae02e2880cd75649e3d871adaea9,Los Angeles Angels,New York Yankees,2025-05-29 01:38:00+00:00,,,,,,,,,9.0,100,9.0,-120,,,,,,,,,,149.0,,-165.0,1.5,-117.0,-1.5,-103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-29
53f9b02bc028315158843dc6b5c1ba00,Houston Astros,Oakland Athletics,2025-05-28 18:11:00+00:00,,,,,,,,,8.0,-125,8.0,105,,,,,,,,,,,,,,,,,,-123.0,,112.0,-1.5,163.0,1.5,-187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-28
5a2244360aa25382101fc2083e6d267c,Kansas City Royals,Cincinnati Reds,2025-05-28 23:40:00+00:00,,,,,,,,,7.5,-115,7.5,-105,,,,,,,,,,,,,,,,,,,,,,,,,,-110.0,,100.0,-1.5,149.0,1.5,-170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-28
5aaaed44a7fb6ef7c6ee5ae9b2fb0d9c,Seattle Mariners,Washington Nationals,2025-05-29 01:40:00+00:00,,,,,,,,,8.0,-125,8.0,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-195.0,,175.0,-1.5,105.0,1.5,-125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-29
958885f2c42b675b4894793f9f6c6a93,San Diego Padres,Miami Marlins,2025-05-28 20:11:00+00:00,,,,,,,,,8.5,100,8.5,-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,,-160.0,1.5,-150.0,-1.5,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-28
a2aa3844ce0a46b56c535a4c6a057ac9,Arizona Diamondbacks,Pittsburgh Pirates,2025-05-28 19:41:00+00:00,,,,,,,,,7.5,-115,7.5,-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-125.0,,113.0,-1.5,168.0,1.5,-193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-28
a56f751bad043a623c0e3f1c6c683111,New York Mets,Chicago White Sox,2025-05-28 17:11:00+00:00,,,,,,,,,7.5,-125,7.5,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.0,,-230.0,1.5,-112.0,-1.5,-108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-28
bbad2b85f44bdca9301289d4aa49b90c,Chicago Cubs,Colorado Rockies,2025-05-29 00:05:00+00:00,,,,,,,,,8.0,-102,8.0,-118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-321.0,,282.0,-1.5,-140.0,1.5,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-29
