event_id,home_team,away_team,commence_time,h2h_kansas_city_royals_line,h2h_kansas_city_royals_odds,h2h_tampa_bay_rays_line,h2h_tampa_bay_rays_odds,spreads_kansas_city_royals_line,spreads_kansas_city_royals_odds,spreads_tampa_bay_rays_line,spreads_tampa_bay_rays_odds,totals_over_line,totals_over_odds,totals_under_line,totals_under_odds,h2h_minnesota_twins_line,h2h_minnesota_twins_odds,h2h_seattle_mariners_line,h2h_seattle_mariners_odds,spreads_minnesota_twins_line,spreads_minnesota_twins_odds,spreads_seattle_mariners_line,spreads_seattle_mariners_odds,h2h_boston_red_sox_line,h2h_boston_red_sox_odds,h2h_los_angeles_angels_line,h2h_los_angeles_angels_odds,spreads_boston_red_sox_line,spreads_boston_red_sox_odds,spreads_los_angeles_angels_line,spreads_los_angeles_angels_odds,h2h_baltimore_orioles_line,h2h_baltimore_orioles_odds,h2h_texas_rangers_line,h2h_texas_rangers_odds,spreads_baltimore_orioles_line,spreads_baltimore_orioles_odds,spreads_texas_rangers_line,spreads_texas_rangers_odds,h2h_san_diego_padres_line,h2h_san_diego_padres_odds,h2h_washington_nationals_line,h2h_washington_nationals_odds,spreads_san_diego_padres_line,spreads_san_diego_padres_odds,spreads_washington_nationals_line,spreads_washington_nationals_odds,h2h_cincinnati_reds_line,h2h_cincinnati_reds_odds,h2h_new_york_yankees_line,h2h_new_york_yankees_odds,spreads_cincinnati_reds_line,spreads_cincinnati_reds_odds,spreads_new_york_yankees_line,spreads_new_york_yankees_odds,h2h_colorado_rockies_line,h2h_colorado_rockies_odds,h2h_los_angeles_dodgers_line,h2h_los_angeles_dodgers_odds,spreads_colorado_rockies_line,spreads_colorado_rockies_odds,spreads_los_angeles_dodgers_line,spreads_los_angeles_dodgers_odds,h2h_miami_marlins_line,h2h_miami_marlins_odds,h2h_san_francisco_giants_line,h2h_san_francisco_giants_odds,spreads_miami_marlins_line,spreads_miami_marlins_odds,spreads_san_francisco_giants_line,spreads_san_francisco_giants_odds,h2h_chicago_cubs_line,h2h_chicago_cubs_odds,h2h_st._louis_cardinals_line,h2h_st._louis_cardinals_odds,spreads_chicago_cubs_line,spreads_chicago_cubs_odds,spreads_st._louis_cardinals_line,spreads_st._louis_cardinals_odds,h2h_atlanta_braves_line,h2h_atlanta_braves_odds,h2h_new_york_mets_line,h2h_new_york_mets_odds,spreads_atlanta_braves_line,spreads_atlanta_braves_odds,spreads_new_york_mets_line,spreads_new_york_mets_odds,h2h_cleveland_guardians_line,h2h_cleveland_guardians_odds,h2h_toronto_blue_jays_line,h2h_toronto_blue_jays_odds,spreads_cleveland_guardians_line,spreads_cleveland_guardians_odds,spreads_toronto_blue_jays_line,spreads_toronto_blue_jays_odds,h2h_detroit_tigers_line,h2h_detroit_tigers_odds,h2h_oakland_athletics_line,h2h_oakland_athletics_odds,spreads_detroit_tigers_line,spreads_detroit_tigers_odds,spreads_oakland_athletics_line,spreads_oakland_athletics_odds,h2h_houston_astros_line,h2h_houston_astros_odds,h2h_philadelphia_phillies_line,h2h_philadelphia_phillies_odds,spreads_houston_astros_line,spreads_houston_astros_odds,spreads_philadelphia_phillies_line,spreads_philadelphia_phillies_odds,h2h_arizona_diamondbacks_line,h2h_arizona_diamondbacks_odds,h2h_chicago_white_sox_line,h2h_chicago_white_sox_odds,spreads_arizona_diamondbacks_line,spreads_arizona_diamondbacks_odds,spreads_chicago_white_sox_line,spreads_chicago_white_sox_odds,h2h_milwaukee_brewers_line,h2h_milwaukee_brewers_odds,h2h_pittsburgh_pirates_line,h2h_pittsburgh_pirates_odds,spreads_milwaukee_brewers_line,spreads_milwaukee_brewers_odds,spreads_pittsburgh_pirates_line,spreads_pittsburgh_pirates_odds,pitcher_props,batter_props,game_date
0cdc784258183116252ac5d1378951d3,Kansas City Royals,Tampa Bay Rays,2025-06-25 23:41:00+00:00,,104.0,,-126.0,1.5,-157.0,-1.5,128.0,9.0,-108,9.0,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'player': 'Drew Rasmussen', 'market': 'pitcher_strikeouts', 'line': 3.5, 'odds': -118}, {'player': 'Drew Rasmussen', 'market': 'pitcher_strikeouts', 'line': 3.5, 'odds': -112}, {'player': 'Michael Wacha', 'market': 'pitcher_strikeouts', 'line': 4.5, 'odds': 126}, {'player': 'Michael Wacha', 'market': 'pitcher_strikeouts', 'line': 4.5, 'odds': -160}, {'player': 'Michael Wacha', 'market': 'pitcher_strikeouts', 'line': 3.5, 'odds': -170}, {'player': 'Michael Wacha', 'market': 'pitcher_strikeouts', 'line': 3.5, 'odds': 130}, {'player': 'Drew Rasmussen', 'market': 'pitcher_strikeouts', 'line': 3.5, 'odds': -110}, {'player': 'Drew Rasmussen', 'market': 'pitcher_strikeouts', 'line': 3.5, 'odds': -115}]","[{'player': 'Yandy Diaz', 'market': 'batter_hits', 'line': 1.5, 'odds': 155}, {'player': 'Yandy Diaz', 'market': 'batter_hits', 'line': 1.5, 'odds': -210}, {'player': 'Bobby Witt Jr.', 'market': 'batter_hits', 'line': 1.5, 'odds': 160}, {'player': 'Bobby Witt Jr.', 'market': 'batter_hits', 'line': 1.5, 'odds': -220}, {'player': 'Jake Mangum', 'market': 'batter_hits', 'line': 1.5, 'odds': 175}, {'player': 'Jake Mangum', 'market': 'batter_hits', 'line': 1.5, 'odds': -240}, {'player': 'Junior Caminero', 'market': 'batter_hits', 'line': 1.5, 'odds': 180}, {'player': 'Junior Caminero', 'market': 'batter_hits', 'line': 1.5, 'odds': -245}, {'player': 'Jonathan Aranda', 'market': 'batter_hits', 'line': 1.5, 'odds': 185}, {'player': 'Jonathan Aranda', 'market': 'batter_hits', 'line': 1.5, 'odds': -255}, {'player': 'Chandler Simpson', 'market': 'batter_hits', 'line': 0.5, 'odds': -275}, {'player': 'Chandler Simpson', 'market': 'batter_hits', 'line': 0.5, 'odds': 200}, {'player': 'Josh Lowe', 'market': 'batter_hits', 'line': 0.5, 'odds': -270}, {'player': 'Josh Lowe', 'market': 'batter_hits', 'line': 0.5, 'odds': 200}, {'player': 'Maikel Garcia', 'market': 'batter_hits', 'line': 0.5, 'odds': -270}, {'player': 'Maikel Garcia', 'market': 'batter_hits', 'line': 0.5, 'odds': 195}, {'player': 'Jonathan India', 'market': 'batter_hits', 'line': 0.5, 'odds': -245}, {'player': 'Jonathan India', 'market': 'batter_hits', 'line': 0.5, 'odds': 175}, {'player': 'Salvador Perez', 'market': 'batter_hits', 'line': 0.5, 'odds': -245}, {'player': 'Salvador Perez', 'market': 'batter_hits', 'line': 0.5, 'odds': 180}, {'player': 'Vinnie Pasquantino', 'market': 'batter_hits', 'line': 0.5, 'odds': -245}, {'player': 'Vinnie Pasquantino', 'market': 'batter_hits', 'line': 0.5, 'odds': 180}, {'player': 'Brandon Lowe', 'market': 'batter_hits', 'line': 0.5, 'odds': -240}, {'player': 'Brandon Lowe', 'market': 'batter_hits', 'line': 0.5, 'odds': 175}, {'player': 'Jac Caglianone', 'market': 'batter_hits', 'line': 0.5, 'odds': -210}, {'player': 'Jac Caglianone', 'market': 'batter_hits', 'line': 0.5, 'odds': 155}, {'player': 'Freddy Fermin', 'market': 'batter_hits', 'line': 0.5, 'odds': -200}, {'player': 'Freddy Fermin', 'market': 'batter_hits', 'line': 0.5, 'odds': 150}, {'player': 'Drew Waters', 'market': 'batter_hits', 'line': 0.5, 'odds': -180}, {'player': 'Drew Waters', 'market': 'batter_hits', 'line': 0.5, 'odds': 135}, {'player': 'Kyle Isbel', 'market': 'batter_hits', 'line': 0.5, 'odds': -160}, {'player': 'Kyle Isbel', 'market': 'batter_hits', 'line': 0.5, 'odds': 115}, {'player': 'Taylor Walls', 'market': 'batter_hits', 'line': 0.5, 'odds': -150}, {'player': 'Taylor Walls', 'market': 'batter_hits', 'line': 0.5, 'odds': 110}, {'player': 'Danny Jansen', 'market': 'batter_hits', 'line': 0.5, 'odds': -130}, {'player': 'Danny Jansen', 'market': 'batter_hits', 'line': 0.5, 'odds': -105}]",2025-06-25
1004e08c5efe2712a92790193905bdf1,Minnesota Twins,Seattle Mariners,2025-06-25 23:41:00+00:00,,,,,,,,,8.0,-108,8.0,-113,,-127.0,,104.0,-1.5,167.0,1.5,-206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-25
1dc46df842e18187b6256969c30db204,Los Angeles Angels,Boston Red Sox,2025-06-25 01:39:00+00:00,,,,,,,,,3.5,143,3.5,-188,,,,,,,,,,-237.0,,177.0,-1.5,204.0,1.5,-279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'player': 'Marcelo Mayer', 'market': 'batter_hits', 'line': 2.5, 'odds': 750}, {'player': 'Taylor Ward', 'market': 'batter_hits', 'line': 2.5, 'odds': 2300}, {'player': ""Logan O'Hoppe"", 'market': 'batter_hits', 'line': 2.5, 'odds': 3000}, {'player': 'Zach Neto', 'market': 'batter_hits', 'line': 0.5, 'odds': 235}, {'player': 'Nate Eaton', 'market': 'batter_hits', 'line': 0.5, 'odds': 280}, {'player': 'Gustavo Campero', 'market': 'batter_hits', 'line': 0.5, 'odds': 270}, {'player': 'Carlos Narvaez', 'market': 'batter_hits', 'line': 0.5, 'odds': 280}, {'player': 'Jo Adell', 'market': 'batter_hits', 'line': 0.5, 'odds': 290}, {'player': 'Taylor Ward', 'market': 'batter_hits', 'line': 1.5, 'odds': 200}, {'player': ""Logan O'Hoppe"", 'market': 'batter_hits', 'line': 1.5, 'odds': 230}, {'player': 'Jarren Duran', 'market': 'batter_hits', 'line': 1.5, 'odds': 300}, {'player': 'Taylor Ward', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 1200}, {'player': ""Logan O'Hoppe"", 'market': 'batter_home_runs', 'line': 0.5, 'odds': 1300}, {'player': 'Jo Adell', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 1700}, {'player': 'Romy Gonzalez', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 1900}, {'player': 'Zach Neto', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 2200}, {'player': 'Carlos Narvaez', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 2200}, {'player': 'Rob Refsnyder', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 2400}, {'player': 'Roman Anthony', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 2400}, {'player': 'Jarren Duran', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 2400}, {'player': 'Nate Eaton', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 2300}, {'player': 'Trevor Story', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 2800}, {'player': 'Christian Moore', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 3100}, {'player': 'Luis Rengifo', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 3500}, {'player': 'Ceddanne Rafaela', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 3200}, {'player': 'LaMonte Wade Jr.', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 3200}, {'player': 'Gustavo Campero', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 3300}, {'player': 'Marcelo Mayer', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 4600}]",2025-06-25
285755a96a1d2017df8d86d41f3609ec,Baltimore Orioles,Texas Rangers,2025-06-25 22:36:00+00:00,,,,,,,,,9.0,-110,9.0,-110,,,,,,,,,,,,,,,,,,131.0,,-145.0,1.5,-125.0,-1.5,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-25
31d09bdf5fbe6b0d2835ee397ae2a319,San Diego Padres,Washington Nationals,2025-06-25 01:41:00+00:00,,,,,,,,,9.5,-112,9.5,-116,,,,,,,,,,,,,,,,,,,,,,,,,,-437.0,,299.0,-1.5,-111.0,1.5,-117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'player': 'Luis Arraez', 'market': 'batter_hits', 'line': 3.5, 'odds': 2200}, {'player': 'Jacob Young', 'market': 'batter_hits', 'line': 3.5, 'odds': 6500}, {'player': 'CJ Abrams', 'market': 'batter_hits', 'line': 3.5, 'odds': 6000}, {'player': 'Luis Arraez', 'market': 'batter_hits', 'line': 2.5, 'odds': 150}, {'player': 'CJ Abrams', 'market': 'batter_hits', 'line': 2.5, 'odds': 260}, {'player': 'Jacob Young', 'market': 'batter_hits', 'line': 2.5, 'odds': 290}, {'player': 'Jackson Merrill', 'market': 'batter_hits', 'line': 2.5, 'odds': 1400}, {'player': 'Jake Cronenworth', 'market': 'batter_hits', 'line': 2.5, 'odds': 1400}, {'player': 'Brady House', 'market': 'batter_hits', 'line': 2.5, 'odds': 2500}, {'player': 'Manny Machado', 'market': 'batter_hits', 'line': 2.5, 'odds': 2600}, {'player': 'Daylen Lile', 'market': 'batter_hits', 'line': 2.5, 'odds': 3700}, {'player': 'Martin Maldonado', 'market': 'batter_hits', 'line': 2.5, 'odds': 4100}, {'player': 'Riley Adams', 'market': 'batter_hits', 'line': 2.5, 'odds': 5000}, {'player': 'Jose Iglesias', 'market': 'batter_hits', 'line': 0.5, 'odds': 102}, {'player': 'Fernando Tatis Jr.', 'market': 'batter_hits', 'line': 0.5, 'odds': 120}, {'player': 'Luis Garcia Jr.', 'market': 'batter_hits', 'line': 0.5, 'odds': 148}, {'player': 'Nathaniel Lowe', 'market': 'batter_hits', 'line': 0.5, 'odds': 220}, {'player': 'Josh Bell', 'market': 'batter_hits', 'line': 0.5, 'odds': 240}, {'player': 'James Wood', 'market': 'batter_hits', 'line': 0.5, 'odds': 280}, {'player': 'Jake Cronenworth', 'market': 'batter_hits', 'line': 1.5, 'odds': 130}, {'player': 'Jackson Merrill', 'market': 'batter_hits', 'line': 1.5, 'odds': 130}, {'player': 'Manny Machado', 'market': 'batter_hits', 'line': 1.5, 'odds': 180}, {'player': 'Brady House', 'market': 'batter_hits', 'line': 1.5, 'odds': 220}, {'player': 'Daylen Lile', 'market': 'batter_hits', 'line': 1.5, 'odds': 260}, {'player': 'Martin Maldonado', 'market': 'batter_hits', 'line': 1.5, 'odds': 290}, {'player': 'Riley Adams', 'market': 'batter_hits', 'line': 1.5, 'odds': 300}, {'player': 'Martin Maldonado', 'market': 'batter_home_runs', 'line': 1.5, 'odds': 2200}, {'player': 'Fernando Tatis Jr.', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 1000}, {'player': 'Jackson Merrill', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 1000}, {'player': 'Manny Machado', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 1300}, {'player': 'Luis Garcia Jr.', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 1300}, {'player': 'Jake Cronenworth', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 1400}, {'player': 'Nathaniel Lowe', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 1500}, {'player': 'James Wood', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 1400}, {'player': 'Josh Bell', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 1900}, {'player': 'CJ Abrams', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 2300}, {'player': 'Jose Iglesias', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 2100}, {'player': 'Brady House', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 2100}, {'player': 'Riley Adams', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 2600}, {'player': 'Daylen Lile', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 3000}, {'player': 'Luis Arraez', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 4200}]",2025-06-25
33800da3801274ed9ee51f9a1b0b23ed,San Diego Padres,Washington Nationals,2025-06-25 20:10:00+00:00,,,,,,,,,8.0,-110,8.0,-110,,,,,,,,,,,,,,,,,,,,,,,,,,-150.0,,123.0,-1.5,144.0,1.5,-176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-25
499037e7b7d7dcfe334ab74bfd4504ac,Cincinnati Reds,New York Yankees,2025-06-25 23:11:00+00:00,,,,,,,,,9.5,-102,9.5,-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,,-223.0,1.5,113.0,-1.5,-137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'player': 'Brady Singer', 'market': 'pitcher_strikeouts', 'line': 4.5, 'odds': -146}, {'player': 'Brady Singer', 'market': 'pitcher_strikeouts', 'line': 4.5, 'odds': 114}, {'player': 'Max Fried', 'market': 'pitcher_strikeouts', 'line': 5.5, 'odds': -140}, {'player': 'Max Fried', 'market': 'pitcher_strikeouts', 'line': 5.5, 'odds': 106}]","[{'player': 'Aaron Judge', 'market': 'batter_hits', 'line': 0.5, 'odds': -400}, {'player': 'Cody Bellinger', 'market': 'batter_hits', 'line': 0.5, 'odds': -300}, {'player': 'Paul Goldschmidt', 'market': 'batter_hits', 'line': 0.5, 'odds': -270}, {'player': 'Jazz Chisholm Jr.', 'market': 'batter_hits', 'line': 0.5, 'odds': -260}, {'player': 'Giancarlo Stanton', 'market': 'batter_hits', 'line': 0.5, 'odds': -250}, {'player': 'TJ Friedl', 'market': 'batter_hits', 'line': 0.5, 'odds': -240}, {'player': 'Elly De La Cruz', 'market': 'batter_hits', 'line': 0.5, 'odds': -230}, {'player': 'Trent Grisham', 'market': 'batter_hits', 'line': 0.5, 'odds': -230}, {'player': 'Matt McLain', 'market': 'batter_hits', 'line': 0.5, 'odds': -220}, {'player': 'Anthony Volpe', 'market': 'batter_hits', 'line': 0.5, 'odds': -220}, {'player': 'DJ LeMahieu', 'market': 'batter_hits', 'line': 0.5, 'odds': -210}, {'player': 'Austin Wells', 'market': 'batter_hits', 'line': 0.5, 'odds': -195}, {'player': 'Tyler Stephenson', 'market': 'batter_hits', 'line': 0.5, 'odds': -195}, {'player': 'Santiago Espinal', 'market': 'batter_hits', 'line': 0.5, 'odds': -190}, {'player': 'Christian Encarnacion-Strand', 'market': 'batter_hits', 'line': 0.5, 'odds': -190}, {'player': 'Gavin Lux', 'market': 'batter_hits', 'line': 0.5, 'odds': -175}, {'player': 'Jake Fraley', 'market': 'batter_hits', 'line': 0.5, 'odds': -155}, {'player': 'Connor Joe', 'market': 'batter_hits', 'line': 0.5, 'odds': -130}, {'player': 'Aaron Judge', 'market': 'batter_hits', 'line': 1.5, 'odds': 130}, {'player': 'Cody Bellinger', 'market': 'batter_hits', 'line': 1.5, 'odds': 175}, {'player': 'Paul Goldschmidt', 'market': 'batter_hits', 'line': 1.5, 'odds': 200}, {'player': 'Jazz Chisholm Jr.', 'market': 'batter_hits', 'line': 1.5, 'odds': 210}, {'player': 'TJ Friedl', 'market': 'batter_hits', 'line': 1.5, 'odds': 220}, {'player': 'Giancarlo Stanton', 'market': 'batter_hits', 'line': 1.5, 'odds': 220}, {'player': 'Trent Grisham', 'market': 'batter_hits', 'line': 1.5, 'odds': 230}, {'player': 'Elly De La Cruz', 'market': 'batter_hits', 'line': 1.5, 'odds': 240}, {'player': 'Matt McLain', 'market': 'batter_hits', 'line': 1.5, 'odds': 240}, {'player': 'Anthony Volpe', 'market': 'batter_hits', 'line': 1.5, 'odds': 260}, {'player': 'DJ LeMahieu', 'market': 'batter_hits', 'line': 1.5, 'odds': 260}, {'player': 'Tyler Stephenson', 'market': 'batter_hits', 'line': 1.5, 'odds': 290}, {'player': 'Austin Wells', 'market': 'batter_hits', 'line': 1.5, 'odds': 290}, {'player': 'Santiago Espinal', 'market': 'batter_hits', 'line': 1.5, 'odds': 290}, {'player': 'Christian Encarnacion-Strand', 'market': 'batter_hits', 'line': 1.5, 'odds': 320}, {'player': 'Gavin Lux', 'market': 'batter_hits', 'line': 1.5, 'odds': 360}, {'player': 'Jake Fraley', 'market': 'batter_hits', 'line': 1.5, 'odds': 410}, {'player': 'Connor Joe', 'market': 'batter_hits', 'line': 1.5, 'odds': 500}, {'player': 'Aaron Judge', 'market': 'batter_hits', 'line': 2.5, 'odds': 600}, {'player': 'Cody Bellinger', 'market': 'batter_hits', 'line': 2.5, 'odds': 850}, {'player': 'Giancarlo Stanton', 'market': 'batter_hits', 'line': 2.5, 'odds': 1000}, {'player': 'Jazz Chisholm Jr.', 'market': 'batter_hits', 'line': 2.5, 'odds': 1100}, {'player': 'Paul Goldschmidt', 'market': 'batter_hits', 'line': 2.5, 'odds': 1100}, {'player': 'TJ Friedl', 'market': 'batter_hits', 'line': 2.5, 'odds': 1100}, {'player': 'Trent Grisham', 'market': 'batter_hits', 'line': 2.5, 'odds': 1200}, {'player': 'Elly De La Cruz', 'market': 'batter_hits', 'line': 2.5, 'odds': 1300}, {'player': 'Matt McLain', 'market': 'batter_hits', 'line': 2.5, 'odds': 1300}, {'player': 'Anthony Volpe', 'market': 'batter_hits', 'line': 2.5, 'odds': 1400}, {'player': 'DJ LeMahieu', 'market': 'batter_hits', 'line': 2.5, 'odds': 1500}, {'player': 'Tyler Stephenson', 'market': 'batter_hits', 'line': 2.5, 'odds': 1700}, {'player': 'Austin Wells', 'market': 'batter_hits', 'line': 2.5, 'odds': 1700}, {'player': 'Santiago Espinal', 'market': 'batter_hits', 'line': 2.5, 'odds': 1700}, {'player': 'Christian Encarnacion-Strand', 'market': 'batter_hits', 'line': 2.5, 'odds': 1900}, {'player': 'Gavin Lux', 'market': 'batter_hits', 'line': 2.5, 'odds': 2200}, {'player': 'Jake Fraley', 'market': 'batter_hits', 'line': 2.5, 'odds': 2400}, {'player': 'Connor Joe', 'market': 'batter_hits', 'line': 2.5, 'odds': 3400}, {'player': 'Aaron Judge', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 122}, {'player': 'Giancarlo Stanton', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 210}, {'player': 'Trent Grisham', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 290}, {'player': 'Jazz Chisholm Jr.', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 330}, {'player': 'Austin Wells', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 340}, {'player': 'Cody Bellinger', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 350}, {'player': 'Elly De La Cruz', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 460}, {'player': 'Paul Goldschmidt', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 470}, {'player': 'Tyler Stephenson', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 480}, {'player': 'Christian Encarnacion-Strand', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 480}, {'player': 'Matt McLain', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 500}, {'player': 'Anthony Volpe', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 600}, {'player': 'TJ Friedl', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 630}, {'player': 'Gavin Lux', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 870}, {'player': 'DJ LeMahieu', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 870}, {'player': 'Jake Fraley', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 870}, {'player': 'Connor Joe', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 900}, {'player': 'Santiago Espinal', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 1000}]",2025-06-25
56406d8a2779ee7a60dc2372c272a640,Los Angeles Angels,Boston Red Sox,2025-06-25 20:08:00+00:00,,,,,,,,,9.0,-106,9.0,-115,,,,,,,,,,104.0,,-126.0,1.5,-194.0,-1.5,158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-25
7455d1767bdb1adb2e2ad89c721ac0a6,Colorado Rockies,Los Angeles Dodgers,2025-06-26 00:41:00+00:00,,,,,,,,,11.0,-102,11.0,-119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.0,,-314.0,1.5,175.0,-1.5,-217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-26
8455e11d3c0a0a9bfbb06a22612bec32,San Francisco Giants,Miami Marlins,2025-06-26 01:46:00+00:00,,,,,,,,,7.0,-105,7.0,-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.0,,-225.0,1.5,-123.0,-1.5,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-26
