event_id,home_team,away_team,commence_time,bookmaker,last_update,market,participant,description,raw_name,line,odds
3ab75ccff9e0a732f5cf7fd89e7ee2fb,San Diego Padres,Pittsburgh Pirates,2025-06-01T01:41:00Z,BetOnline.ag,2025-05-31T23:59:21Z,h2h,,,Pittsburgh Pirates,,190
3ab75ccff9e0a732f5cf7fd89e7ee2fb,San Diego Padres,Pittsburgh Pirates,2025-06-01T01:41:00Z,BetOnline.ag,2025-05-31T23:59:21Z,h2h,,,San Diego Padres,,-212
3ab75ccff9e0a732f5cf7fd89e7ee2fb,San Diego Padres,Pittsburgh Pirates,2025-06-01T01:41:00Z,BetOnline.ag,2025-05-31T23:59:21Z,spreads,,,Pittsburgh Pirates,1.5,-112
3ab75ccff9e0a732f5cf7fd89e7ee2fb,San Diego Padres,Pittsburgh Pirates,2025-06-01T01:41:00Z,BetOnline.ag,2025-05-31T23:59:21Z,spreads,,,San Diego Padres,-1.5,-108
3ab75ccff9e0a732f5cf7fd89e7ee2fb,San Diego Padres,Pittsburgh Pirates,2025-06-01T01:41:00Z,BetOnline.ag,2025-05-31T23:59:21Z,totals,,,Over,8.0,-104
3ab75ccff9e0a732f5cf7fd89e7ee2fb,San Diego Padres,Pittsburgh Pirates,2025-06-01T01:41:00Z,BetOnline.ag,2025-05-31T23:59:21Z,totals,,,Under,8.0,-116
e2a22464e4ad6bca6b3c675a49ebd175,Arizona Diamondbacks,Washington Nationals,2025-06-01T02:11:00Z,BetOnline.ag,2025-05-31T23:59:21Z,h2h,,,Arizona Diamondbacks,,-175
e2a22464e4ad6bca6b3c675a49ebd175,Arizona Diamondbacks,Washington Nationals,2025-06-01T02:11:00Z,BetOnline.ag,2025-05-31T23:59:21Z,h2h,,,Washington Nationals,,158
e2a22464e4ad6bca6b3c675a49ebd175,Arizona Diamondbacks,Washington Nationals,2025-06-01T02:11:00Z,BetOnline.ag,2025-05-31T23:59:21Z,spreads,,,Arizona Diamondbacks,-1.5,109
e2a22464e4ad6bca6b3c675a49ebd175,Arizona Diamondbacks,Washington Nationals,2025-06-01T02:11:00Z,BetOnline.ag,2025-05-31T23:59:21Z,spreads,,,Washington Nationals,1.5,-129
e2a22464e4ad6bca6b3c675a49ebd175,Arizona Diamondbacks,Washington Nationals,2025-06-01T02:11:00Z,BetOnline.ag,2025-05-31T23:59:21Z,totals,,,Over,9.5,-117
e2a22464e4ad6bca6b3c675a49ebd175,Arizona Diamondbacks,Washington Nationals,2025-06-01T02:11:00Z,BetOnline.ag,2025-05-31T23:59:21Z,totals,,,Under,9.5,-103
cefad7b624d0e5b5b5cfa34a49677c06,Texas Rangers,St. Louis Cardinals,2025-06-01T17:06:00Z,BetOnline.ag,2025-05-31T23:59:21Z,h2h,,,St. Louis Cardinals,,154
cefad7b624d0e5b5b5cfa34a49677c06,Texas Rangers,St. Louis Cardinals,2025-06-01T17:06:00Z,BetOnline.ag,2025-05-31T23:59:21Z,h2h,,,Texas Rangers,,-171
cefad7b624d0e5b5b5cfa34a49677c06,Texas Rangers,St. Louis Cardinals,2025-06-01T17:06:00Z,BetOnline.ag,2025-05-31T23:59:21Z,spreads,,,St. Louis Cardinals,1.5,-145
cefad7b624d0e5b5b5cfa34a49677c06,Texas Rangers,St. Louis Cardinals,2025-06-01T17:06:00Z,BetOnline.ag,2025-05-31T23:59:21Z,spreads,,,Texas Rangers,-1.5,125
cefad7b624d0e5b5b5cfa34a49677c06,Texas Rangers,St. Louis Cardinals,2025-06-01T17:06:00Z,BetOnline.ag,2025-05-31T23:59:21Z,totals,,,Over,7.5,-113
cefad7b624d0e5b5b5cfa34a49677c06,Texas Rangers,St. Louis Cardinals,2025-06-01T17:06:00Z,BetOnline.ag,2025-05-31T23:59:21Z,totals,,,Under,7.5,-107
e71e32da7687bc7628fe5a772895a7b1,Atlanta Braves,Boston Red Sox,2025-06-01T17:36:00Z,BetOnline.ag,2025-05-31T23:59:21Z,h2h,,,Atlanta Braves,,118
e71e32da7687bc7628fe5a772895a7b1,Atlanta Braves,Boston Red Sox,2025-06-01T17:36:00Z,BetOnline.ag,2025-05-31T23:59:21Z,h2h,,,Boston Red Sox,,-130
e71e32da7687bc7628fe5a772895a7b1,Atlanta Braves,Boston Red Sox,2025-06-01T17:36:00Z,BetOnline.ag,2025-05-31T23:59:21Z,spreads,,,Atlanta Braves,1.5,-145
e71e32da7687bc7628fe5a772895a7b1,Atlanta Braves,Boston Red Sox,2025-06-01T17:36:00Z,BetOnline.ag,2025-05-31T23:59:21Z,spreads,,,Boston Red Sox,-1.5,125
e71e32da7687bc7628fe5a772895a7b1,Atlanta Braves,Boston Red Sox,2025-06-01T17:36:00Z,BetOnline.ag,2025-05-31T23:59:21Z,totals,,,Over,8.5,105
e71e32da7687bc7628fe5a772895a7b1,Atlanta Braves,Boston Red Sox,2025-06-01T17:36:00Z,BetOnline.ag,2025-05-31T23:59:21Z,totals,,,Under,8.5,-125
2e9d23c334d7f8541696c6751157e8df,Baltimore Orioles,Chicago White Sox,2025-06-01T17:36:00Z,BetOnline.ag,2025-05-31T23:59:21Z,h2h,,,Baltimore Orioles,,-165
2e9d23c334d7f8541696c6751157e8df,Baltimore Orioles,Chicago White Sox,2025-06-01T17:36:00Z,BetOnline.ag,2025-05-31T23:59:21Z,h2h,,,Chicago White Sox,,149
2e9d23c334d7f8541696c6751157e8df,Baltimore Orioles,Chicago White Sox,2025-06-01T17:36:00Z,BetOnline.ag,2025-05-31T23:59:21Z,spreads,,,Baltimore Orioles,-1.5,125
