Game_Date,Pitcher,line,odds,Predicted_K,edge,bet_recommendation,confidence,predicted_so,Pitcher_clean,Pitcher_fuzzy,Strikeouts,Result
2025-05-26,gavin williams,5.5,-143,3.761560514385665,-1.7384394856143357,✅ Under,🔥🔥🔥,,gavin williams,gavin williams,3.0,Under
2025-05-26,yoshinobu yamamoto,6.5,-114,2.6618503694581284,-3.838149630541872,✅ Under,🔥🔥🔥🔥🔥,,yoshinobu yamamoto,yoshinobu yamamoto,7.0,Over
2025-05-26,zack littell,4.5,124,2.027564655172414,-2.472435344827586,✅ Under,🔥🔥🔥🔥,,zack littell,zack littell,4.0,Over
2025-05-28,cade povich,4.5,-137,2.295873357963876,-2.2041266420361243,✅ Under,🔥🔥🔥🔥,,cade povich,cade povich,9.0,Over
2025-05-28,hunter greene,5.5,-164,2.0948938477189976,-3.4051061522810024,✅ Under,🔥🔥🔥🔥🔥,,hunter greene,hunter greene,3.0,Over
2025-05-28,kyle hart,3.5,-156,2.242250169558078,-1.257749830441922,✅ Under,🔥🔥,,kyle hart,kyle hart,1.0,Under
2025-05-28,lance mccullers jr,4.5,-149,2.3282271810523314,-2.1717728189476686,✅ Under,🔥🔥🔥🔥,,lance mccullers jr,lance mccullers jr,12.0,Over
2025-05-28,luis severino,4.5,-123,2.532564655172414,-1.967435344827586,✅ Under,🔥🔥🔥,,luis severino,luis severino,4.0,Over
2025-05-28,miles mikolas,3.5,-116,1.610027947335856,-1.889972052664144,✅ Under,🔥🔥🔥,,miles mikolas,miles mikolas,3.0,Over
2025-05-28,noah cameron,4.5,-116,2.460897988505747,-2.039102011494253,✅ Under,🔥🔥🔥🔥,,noah cameron,noah cameron,2.0,Under
2025-05-28,paul skenes,6.5,105,4.046875,-2.453125,✅ Under,🔥🔥🔥🔥,,paul skenes,paul skenes,7.0,Over
2025-05-28,sandy alcantara,4.5,120,3.535583502891412,-0.964416497108588,✅ Under,🔥,,sandy alcantara,sandy alcantara,0.0,Under
2025-05-28,zac gallen,6.5,112,3.587564655172414,-2.912435344827586,✅ Under,🔥🔥🔥🔥🔥,,zac gallen,zac gallen,3.0,Under
2025-05-28,hunter greene,6.5,120,2.0948938477189976,-4.405106152281002,✅ Under,🔥🔥🔥🔥🔥,,hunter greene,hunter greene,3.0,Over
2025-05-28,kyle hart,3.5,-154,2.242250169558078,-1.257749830441922,✅ Under,🔥🔥,,kyle hart,kyle hart,1.0,Under
2025-05-30,cal quantrill,2.5,-185,1.3889168362247446,-1.1110831637752554,✅ Under,🔥🔥,,cal quantrill,cal quantrill,7.0,Over
2025-05-30,chris bassitt,5.5,-108,2.5342313218390804,-2.96576867816092,✅ Under,🔥🔥🔥🔥🔥,,chris bassitt,chris bassitt,6.0,Over
2025-05-30,david peterson,6.5,112,2.187564655172414,-4.312435344827586,✅ Under,🔥🔥🔥🔥🔥,,david peterson,david peterson,5.0,Over
2025-05-30,grant holmes,5.5,-161,3.755583502891412,-1.7444164971085885,✅ Under,🔥🔥🔥,,grant holmes,grant holmes,9.0,Over
2025-05-30,jose soriano,4.5,126,3.005897988505747,-1.494102011494253,✅ Under,🔥🔥,,jose soriano,josé soriano,2.0,Under
2025-05-30,kyle freeland,3.5,-135,1.927564655172414,-1.572435344827586,✅ Under,🔥🔥🔥,,kyle freeland,kyle freeland,4.0,Over
2025-05-30,kyle harrison,4.5,-109,0.8342313218390804,-3.6657686781609193,✅ Under,🔥🔥🔥🔥🔥,,kyle harrison,kyle harrison,5.0,Over
2025-05-30,lucas giolito,4.5,-130,2.500897988505747,-1.9991020114942528,✅ Under,🔥🔥🔥,,lucas giolito,lucas giolito,3.0,Over
2025-05-30,luis ortiz,5.5,-159,3.7275646551724138,-1.7724353448275862,✅ Under,🔥🔥🔥,,luis ortiz,luis ortiz,5.0,Over
2025-05-30,taijuan walker,3.5,-103,1.7489168362247445,-1.7510831637752555,✅ Under,🔥🔥🔥,,taijuan walker,taijuan walker,6.0,Over
