event_id,home_team,away_team,commence_time,type,player,market,line,odds
37f9e0a2bf099dde4ee38064fa0878ab,Washington Nationals,Chicago Cubs,2025-06-04 22:46:00+00:00,team,h2h chicago cubs,h2h,,-135.0
37f9e0a2bf099dde4ee38064fa0878ab,Washington Nationals,Chicago Cubs,2025-06-04 22:46:00+00:00,team,h2h washington nationals,h2h,,114.0
37f9e0a2bf099dde4ee38064fa0878ab,Washington Nationals,Chicago Cubs,2025-06-04 22:46:00+00:00,team,spreads chicago cubs,spreads,-1.5,120.0
37f9e0a2bf099dde4ee38064fa0878ab,Washington Nationals,Chicago Cubs,2025-06-04 22:46:00+00:00,team,spreads washington nationals,spreads,1.5,-142.0
37f9e0a2bf099dde4ee38064fa0878ab,Washington Nationals,Chicago Cubs,2025-06-04 22:46:00+00:00,team,totals over,totals,8.0,-115.0
37f9e0a2bf099dde4ee38064fa0878ab,Washington Nationals,Chicago Cubs,2025-06-04 22:46:00+00:00,team,totals under,totals,8.0,-105.0
37f9e0a2bf099dde4ee38064fa0878ab,Washington Nationals,Chicago Cubs,2025-06-04 22:46:00+00:00,team,h2h philadelphia phillies,h2h,,
37f9e0a2bf099dde4ee38064fa0878ab,Washington Nationals,Chicago Cubs,2025-06-04 22:46:00+00:00,team,h2h toronto blue jays,h2h,,
37f9e0a2bf099dde4ee38064fa0878ab,Washington Nationals,Chicago Cubs,2025-06-04 22:46:00+00:00,team,spreads philadelphia phillies,spreads,,
37f9e0a2bf099dde4ee38064fa0878ab,Washington Nationals,Chicago Cubs,2025-06-04 22:46:00+00:00,team,spreads toronto blue jays,spreads,,
37f9e0a2bf099dde4ee38064fa0878ab,Washington Nationals,Chicago Cubs,2025-06-04 22:46:00+00:00,team,h2h houston astros,h2h,,
37f9e0a2bf099dde4ee38064fa0878ab,Washington Nationals,Chicago Cubs,2025-06-04 22:46:00+00:00,team,h2h pittsburgh pirates,h2h,,
37f9e0a2bf099dde4ee38064fa0878ab,Washington Nationals,Chicago Cubs,2025-06-04 22:46:00+00:00,team,spreads houston astros,spreads,,
37f9e0a2bf099dde4ee38064fa0878ab,Washington Nationals,Chicago Cubs,2025-06-04 22:46:00+00:00,team,spreads pittsburgh pirates,spreads,,
37f9e0a2bf099dde4ee38064fa0878ab,Washington Nationals,Chicago Cubs,2025-06-04 22:46:00+00:00,team,h2h tampa bay rays,h2h,,
37f9e0a2bf099dde4ee38064fa0878ab,Washington Nationals,Chicago Cubs,2025-06-04 22:46:00+00:00,team,h2h texas rangers,h2h,,
