event_id,home_team,away_team,commence_time,h2h_atlanta_braves_line,h2h_atlanta_braves_odds,h2h_san_francisco_giants_line,h2h_san_francisco_giants_odds,spreads_atlanta_braves_line,spreads_atlanta_braves_odds,spreads_san_francisco_giants_line,spreads_san_francisco_giants_odds,totals_over_line,totals_over_odds,totals_under_line,totals_under_odds,h2h_boston_red_sox_line,h2h_boston_red_sox_odds,h2h_new_york_yankees_line,h2h_new_york_yankees_odds,spreads_boston_red_sox_line,spreads_boston_red_sox_odds,spreads_new_york_yankees_line,spreads_new_york_yankees_odds,h2h_colorado_rockies_line,h2h_colorado_rockies_odds,h2h_new_york_mets_line,h2h_new_york_mets_odds,spreads_colorado_rockies_line,spreads_colorado_rockies_odds,spreads_new_york_mets_line,spreads_new_york_mets_odds,h2h_los_angeles_angels_line,h2h_los_angeles_angels_odds,h2h_seattle_mariners_line,h2h_seattle_mariners_odds,spreads_los_angeles_angels_line,spreads_los_angeles_angels_odds,spreads_seattle_mariners_line,spreads_seattle_mariners_odds,h2h_philadelphia_phillies_line,h2h_philadelphia_phillies_odds,h2h_pittsburgh_pirates_line,h2h_pittsburgh_pirates_odds,spreads_philadelphia_phillies_line,spreads_philadelphia_phillies_odds,spreads_pittsburgh_pirates_line,spreads_pittsburgh_pirates_odds,h2h_baltimore_orioles_line,h2h_baltimore_orioles_odds,h2h_oakland_athletics_line,h2h_oakland_athletics_odds,spreads_baltimore_orioles_line,spreads_baltimore_orioles_odds,spreads_oakland_athletics_line,spreads_oakland_athletics_odds,h2h_miami_marlins_line,h2h_miami_marlins_odds,h2h_tampa_bay_rays_line,h2h_tampa_bay_rays_odds,spreads_miami_marlins_line,spreads_miami_marlins_odds,spreads_tampa_bay_rays_line,spreads_tampa_bay_rays_odds,h2h_los_angeles_dodgers_line,h2h_los_angeles_dodgers_odds,h2h_st._louis_cardinals_line,h2h_st._louis_cardinals_odds,spreads_los_angeles_dodgers_line,spreads_los_angeles_dodgers_odds,spreads_st._louis_cardinals_line,spreads_st._louis_cardinals_odds,h2h_cleveland_guardians_line,h2h_cleveland_guardians_odds,h2h_houston_astros_line,h2h_houston_astros_odds,spreads_cleveland_guardians_line,spreads_cleveland_guardians_odds,spreads_houston_astros_line,spreads_houston_astros_odds,h2h_minnesota_twins_line,h2h_minnesota_twins_odds,h2h_toronto_blue_jays_line,h2h_toronto_blue_jays_odds,spreads_minnesota_twins_line,spreads_minnesota_twins_odds,spreads_toronto_blue_jays_line,spreads_toronto_blue_jays_odds,h2h_chicago_white_sox_line,h2h_chicago_white_sox_odds,h2h_kansas_city_royals_line,h2h_kansas_city_royals_odds,spreads_chicago_white_sox_line,spreads_chicago_white_sox_odds,spreads_kansas_city_royals_line,spreads_kansas_city_royals_odds,h2h_arizona_diamondbacks_line,h2h_arizona_diamondbacks_odds,h2h_cincinnati_reds_line,h2h_cincinnati_reds_odds,spreads_arizona_diamondbacks_line,spreads_arizona_diamondbacks_odds,spreads_cincinnati_reds_line,spreads_cincinnati_reds_odds,h2h_milwaukee_brewers_line,h2h_milwaukee_brewers_odds,h2h_san_diego_padres_line,h2h_san_diego_padres_odds,spreads_milwaukee_brewers_line,spreads_milwaukee_brewers_odds,spreads_san_diego_padres_line,spreads_san_diego_padres_odds,h2h_texas_rangers_line,h2h_texas_rangers_odds,h2h_washington_nationals_line,h2h_washington_nationals_odds,spreads_texas_rangers_line,spreads_texas_rangers_odds,spreads_washington_nationals_line,spreads_washington_nationals_odds,h2h_chicago_cubs_line,h2h_chicago_cubs_odds,h2h_detroit_tigers_line,h2h_detroit_tigers_odds,spreads_chicago_cubs_line,spreads_chicago_cubs_odds,spreads_detroit_tigers_line,spreads_detroit_tigers_odds,pitcher_props,batter_props,game_date
06df9a146a1525dce991df4c1385b264,San Francisco Giants,Atlanta Braves,2025-06-08 20:06:00+00:00,,-121.0,,-101.0,-1.5,140.0,1.5,-160.0,7.5,-119,7.5,-102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-08
07c66f2aed14e868ceba851b02f532fb,New York Yankees,Boston Red Sox,2025-06-08 23:11:00+00:00,,,,,,,,,8.0,-117,8.0,-104,,178.0,,-220.0,1.5,-117.0,-1.5,-103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'player': 'Carlos Rodon', 'market': 'pitcher_strikeouts', 'line': 7.5, 'odds': -104}, {'player': 'Carlos Rodon', 'market': 'pitcher_strikeouts', 'line': 7.5, 'odds': -122}, {'player': 'Hunter Dobbins', 'market': 'pitcher_strikeouts', 'line': 4.5, 'odds': 116}, {'player': 'Hunter Dobbins', 'market': 'pitcher_strikeouts', 'line': 4.5, 'odds': -154}, {'player': 'Hunter Dobbins', 'market': 'pitcher_strikeouts', 'line': 3.5, 'odds': -145}, {'player': 'Hunter Dobbins', 'market': 'pitcher_strikeouts', 'line': 3.5, 'odds': 110}]","[{'player': 'Aaron Judge', 'market': 'batter_hits', 'line': 0.5, 'odds': -270}, {'player': 'Cody Bellinger', 'market': 'batter_hits', 'line': 0.5, 'odds': -210}, {'player': 'Paul Goldschmidt', 'market': 'batter_hits', 'line': 0.5, 'odds': -210}, {'player': 'Jarren Duran', 'market': 'batter_hits', 'line': 0.5, 'odds': -210}, {'player': 'Rafael Devers', 'market': 'batter_hits', 'line': 0.5, 'odds': -190}, {'player': 'Jazz Chisholm Jr.', 'market': 'batter_hits', 'line': 0.5, 'odds': -185}, {'player': 'Romy Gonzalez', 'market': 'batter_hits', 'line': 0.5, 'odds': -170}, {'player': 'Jasson Domínguez', 'market': 'batter_hits', 'line': 0.5, 'odds': -170}, {'player': 'Trent Grisham', 'market': 'batter_hits', 'line': 0.5, 'odds': -170}, {'player': 'Rob Refsnyder', 'market': 'batter_hits', 'line': 0.5, 'odds': -165}, {'player': 'Abraham Toro', 'market': 'batter_hits', 'line': 0.5, 'odds': -160}, {'player': 'Anthony Volpe', 'market': 'batter_hits', 'line': 0.5, 'odds': -155}, {'player': 'DJ LeMahieu', 'market': 'batter_hits', 'line': 0.5, 'odds': -155}, {'player': 'Ceddanne Rafaela', 'market': 'batter_hits', 'line': 0.5, 'odds': -150}, {'player': 'Trevor Story', 'market': 'batter_hits', 'line': 0.5, 'odds': -150}, {'player': 'Austin Wells', 'market': 'batter_hits', 'line': 0.5, 'odds': -145}, {'player': 'Connor Wong', 'market': 'batter_hits', 'line': 0.5, 'odds': -130}, {'player': 'Kristian Campbell', 'market': 'batter_hits', 'line': 0.5, 'odds': -125}, {'player': 'Aaron Judge', 'market': 'batter_hits', 'line': 2.5, 'odds': 1000}, {'player': 'Jarren Duran', 'market': 'batter_hits', 'line': 2.5, 'odds': 1300}, {'player': 'Paul Goldschmidt', 'market': 'batter_hits', 'line': 2.5, 'odds': 1400}, {'player': 'Cody Bellinger', 'market': 'batter_hits', 'line': 2.5, 'odds': 1400}, {'player': 'Rafael Devers', 'market': 'batter_hits', 'line': 2.5, 'odds': 1500}, {'player': 'Romy Gonzalez', 'market': 'batter_hits', 'line': 2.5, 'odds': 1900}, {'player': 'Rob Refsnyder', 'market': 'batter_hits', 'line': 2.5, 'odds': 1900}, {'player': 'Jazz Chisholm Jr.', 'market': 'batter_hits', 'line': 2.5, 'odds': 1900}, {'player': 'Trent Grisham', 'market': 'batter_hits', 'line': 2.5, 'odds': 2000}, {'player': 'Jasson Domínguez', 'market': 'batter_hits', 'line': 2.5, 'odds': 2100}, {'player': 'Abraham Toro', 'market': 'batter_hits', 'line': 2.5, 'odds': 2200}, {'player': 'Anthony Volpe', 'market': 'batter_hits', 'line': 2.5, 'odds': 2500}, {'player': 'DJ LeMahieu', 'market': 'batter_hits', 'line': 2.5, 'odds': 2600}, {'player': 'Ceddanne Rafaela', 'market': 'batter_hits', 'line': 2.5, 'odds': 2700}, {'player': 'Trevor Story', 'market': 'batter_hits', 'line': 2.5, 'odds': 2700}, {'player': 'Austin Wells', 'market': 'batter_hits', 'line': 2.5, 'odds': 2900}, {'player': 'Connor Wong', 'market': 'batter_hits', 'line': 2.5, 'odds': 3300}, {'player': 'Kristian Campbell', 'market': 'batter_hits', 'line': 2.5, 'odds': 3700}, {'player': 'Aaron Judge', 'market': 'batter_hits', 'line': 1.5, 'odds': 200}, {'player': 'Jarren Duran', 'market': 'batter_hits', 'line': 1.5, 'odds': 260}, {'player': 'Cody Bellinger', 'market': 'batter_hits', 'line': 1.5, 'odds': 260}, {'player': 'Paul Goldschmidt', 'market': 'batter_hits', 'line': 1.5, 'odds': 270}, {'player': 'Rafael Devers', 'market': 'batter_hits', 'line': 1.5, 'odds': 310}, {'player': 'Jazz Chisholm Jr.', 'market': 'batter_hits', 'line': 1.5, 'odds': 320}, {'player': 'Romy Gonzalez', 'market': 'batter_hits', 'line': 1.5, 'odds': 330}, {'player': 'Trent Grisham', 'market': 'batter_hits', 'line': 1.5, 'odds': 340}, {'player': 'Rob Refsnyder', 'market': 'batter_hits', 'line': 1.5, 'odds': 350}, {'player': 'Jasson Domínguez', 'market': 'batter_hits', 'line': 1.5, 'odds': 360}, {'player': 'Abraham Toro', 'market': 'batter_hits', 'line': 1.5, 'odds': 380}, {'player': 'DJ LeMahieu', 'market': 'batter_hits', 'line': 1.5, 'odds': 390}, {'player': 'Anthony Volpe', 'market': 'batter_hits', 'line': 1.5, 'odds': 400}, {'player': 'Ceddanne Rafaela', 'market': 'batter_hits', 'line': 1.5, 'odds': 400}, {'player': 'Trevor Story', 'market': 'batter_hits', 'line': 1.5, 'odds': 440}, {'player': 'Austin Wells', 'market': 'batter_hits', 'line': 1.5, 'odds': 460}, {'player': 'Connor Wong', 'market': 'batter_hits', 'line': 1.5, 'odds': 490}, {'player': 'Kristian Campbell', 'market': 'batter_hits', 'line': 1.5, 'odds': 550}, {'player': 'Aaron Judge', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 190}, {'player': 'Jazz Chisholm Jr.', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 390}, {'player': 'Trent Grisham', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 390}, {'player': 'Rafael Devers', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 430}, {'player': 'Cody Bellinger', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 500}, {'player': 'Austin Wells', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 500}, {'player': 'Rob Refsnyder', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 520}, {'player': 'Paul Goldschmidt', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 560}, {'player': 'Jasson Domínguez', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 600}, {'player': 'Trevor Story', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 600}, {'player': 'Romy Gonzalez', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 680}, {'player': 'Jarren Duran', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 750}, {'player': 'Abraham Toro', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 750}, {'player': 'Ceddanne Rafaela', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 800}, {'player': 'Anthony Volpe', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 830}, {'player': 'Connor Wong', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 870}, {'player': 'Kristian Campbell', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 870}, {'player': 'DJ LeMahieu', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 1000}, {'player': 'Jarren Duran', 'market': 'batter_hits', 'line': 0.5, 'odds': -195}, {'player': 'Jarren Duran', 'market': 'batter_hits', 'line': 0.5, 'odds': 145}, {'player': 'Rafael Devers', 'market': 'batter_hits', 'line': 0.5, 'odds': -175}, {'player': 'Rafael Devers', 'market': 'batter_hits', 'line': 0.5, 'odds': 130}, {'player': 'Romy Gonzalez', 'market': 'batter_hits', 'line': 0.5, 'odds': -165}, {'player': 'Romy Gonzalez', 'market': 'batter_hits', 'line': 0.5, 'odds': 120}, {'player': 'Abraham Toro', 'market': 'batter_hits', 'line': 0.5, 'odds': -155}, {'player': 'Abraham Toro', 'market': 'batter_hits', 'line': 0.5, 'odds': 115}, {'player': 'Carlos Narvaez', 'market': 'batter_hits', 'line': 0.5, 'odds': -135}, {'player': 'Carlos Narvaez', 'market': 'batter_hits', 'line': 0.5, 'odds': 100}, {'player': 'Ceddanne Rafaela', 'market': 'batter_hits', 'line': 0.5, 'odds': -130}, {'player': 'Ceddanne Rafaela', 'market': 'batter_hits', 'line': 0.5, 'odds': 100}, {'player': 'Rob Refsnyder', 'market': 'batter_hits', 'line': 0.5, 'odds': -130}, {'player': 'Rob Refsnyder', 'market': 'batter_hits', 'line': 0.5, 'odds': -105}, {'player': 'Trevor Story', 'market': 'batter_hits', 'line': 0.5, 'odds': -125}, {'player': 'Trevor Story', 'market': 'batter_hits', 'line': 0.5, 'odds': -110}, {'player': 'Kristian Campbell', 'market': 'batter_hits', 'line': 0.5, 'odds': -110}, {'player': 'Kristian Campbell', 'market': 'batter_hits', 'line': 0.5, 'odds': -120}]",2025-06-08
1983549c8bf3b2f72cda37084a592a42,Colorado Rockies,New York Mets,2025-06-08 19:11:00+00:00,,,,,,,,,11.0,-105,11.0,-115,,,,,,,,,,244.0,,-275.0,1.5,163.0,-1.5,-187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-08
2a67ebe495383564e15538e80dc7cb38,Los Angeles Angels,Seattle Mariners,2025-06-08 20:08:00+00:00,,,,,,,,,9.0,-101,9.0,-121,,,,,,,,,,,,,,,,,,123.0,,-150.0,1.5,-130.0,-1.5,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-08
311c2537eee5277433b179dad2cea421,Pittsburgh Pirates,Philadelphia Phillies,2025-06-08 17:36:00+00:00,,,,,,,,,7.0,-105,7.0,-116,,,,,,,,,,,,,,,,,,,,,,,,,,-105.0,,-115.0,-1.5,165.0,1.5,-203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'player': 'Paul Skenes', 'market': 'pitcher_strikeouts', 'line': 6.5, 'odds': -115}, {'player': 'Paul Skenes', 'market': 'pitcher_strikeouts', 'line': 6.5, 'odds': -115}, {'player': 'Cristopher Sanchez', 'market': 'pitcher_strikeouts', 'line': 5.5, 'odds': -110}, {'player': 'Cristopher Sanchez', 'market': 'pitcher_strikeouts', 'line': 5.5, 'odds': -115}]","[{'player': 'Trea Turner', 'market': 'batter_hits', 'line': 0.5, 'odds': -245}, {'player': 'Trea Turner', 'market': 'batter_hits', 'line': 0.5, 'odds': 175}, {'player': 'Nick Gonzales', 'market': 'batter_hits', 'line': 0.5, 'odds': -235}, {'player': 'Nick Gonzales', 'market': 'batter_hits', 'line': 0.5, 'odds': 175}, {'player': 'Alec Bohm', 'market': 'batter_hits', 'line': 0.5, 'odds': -230}, {'player': 'Alec Bohm', 'market': 'batter_hits', 'line': 0.5, 'odds': 170}, {'player': ""Ke'Bryan Hayes"", 'market': 'batter_hits', 'line': 0.5, 'odds': -230}, {'player': ""Ke'Bryan Hayes"", 'market': 'batter_hits', 'line': 0.5, 'odds': 170}, {'player': 'Bryan Reynolds', 'market': 'batter_hits', 'line': 0.5, 'odds': -215}, {'player': 'Bryan Reynolds', 'market': 'batter_hits', 'line': 0.5, 'odds': 160}, {'player': 'Bryson Stott', 'market': 'batter_hits', 'line': 0.5, 'odds': -215}, {'player': 'Bryson Stott', 'market': 'batter_hits', 'line': 0.5, 'odds': 160}, {'player': 'Nick Castellanos', 'market': 'batter_hits', 'line': 0.5, 'odds': -210}, {'player': 'Nick Castellanos', 'market': 'batter_hits', 'line': 0.5, 'odds': 155}, {'player': 'Andrew McCutchen', 'market': 'batter_hits', 'line': 0.5, 'odds': -190}, {'player': 'Andrew McCutchen', 'market': 'batter_hits', 'line': 0.5, 'odds': 140}, {'player': 'Alexander Canario', 'market': 'batter_hits', 'line': 0.5, 'odds': -185}, {'player': 'Alexander Canario', 'market': 'batter_hits', 'line': 0.5, 'odds': 135}, {'player': 'Isiah Kiner-Falefa', 'market': 'batter_hits', 'line': 0.5, 'odds': -185}, {'player': 'Isiah Kiner-Falefa', 'market': 'batter_hits', 'line': 0.5, 'odds': 140}, {'player': 'Oneil Cruz', 'market': 'batter_hits', 'line': 0.5, 'odds': -175}, {'player': 'Oneil Cruz', 'market': 'batter_hits', 'line': 0.5, 'odds': 130}, {'player': 'J.T. Realmuto', 'market': 'batter_hits', 'line': 0.5, 'odds': -160}, {'player': 'J.T. Realmuto', 'market': 'batter_hits', 'line': 0.5, 'odds': 120}, {'player': 'Henry Davis', 'market': 'batter_hits', 'line': 0.5, 'odds': -155}, {'player': 'Henry Davis', 'market': 'batter_hits', 'line': 0.5, 'odds': 115}, {'player': 'Max Kepler', 'market': 'batter_hits', 'line': 0.5, 'odds': -155}, {'player': 'Max Kepler', 'market': 'batter_hits', 'line': 0.5, 'odds': 115}, {'player': 'Jared Triolo', 'market': 'batter_hits', 'line': 0.5, 'odds': -150}, {'player': 'Jared Triolo', 'market': 'batter_hits', 'line': 0.5, 'odds': 110}, {'player': 'Brandon Marsh', 'market': 'batter_hits', 'line': 0.5, 'odds': -145}, {'player': 'Brandon Marsh', 'market': 'batter_hits', 'line': 0.5, 'odds': 110}, {'player': 'Kyle Schwarber', 'market': 'batter_hits', 'line': 0.5, 'odds': -145}, {'player': 'Kyle Schwarber', 'market': 'batter_hits', 'line': 0.5, 'odds': 105}, {'player': 'Otto Kemp', 'market': 'batter_hits', 'line': 0.5, 'odds': -125}, {'player': 'Otto Kemp', 'market': 'batter_hits', 'line': 0.5, 'odds': -105}]",2025-06-08
4039141276b69914e77489f7775fbe05,Oakland Athletics,Baltimore Orioles,2025-06-08 20:06:00+00:00,,,,,,,,,10.5,-128,10.5,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-146.0,,124.0,-1.5,-102.0,1.5,-118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-08
568f7227849642b21aa66aab0d148e68,Tampa Bay Rays,Miami Marlins,2025-06-08 16:11:00+00:00,,,,,,,,,8.5,-121,8.5,-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,-253.0,1.5,-101.0,-1.5,-121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-08
67f2a6ab16d20c0d9b2828d66d697ae1,Colorado Rockies,New York Mets,2025-06-08 01:41:00+00:00,,,,,,,,,8.5,-130,8.5,100,,,,,,,,,,850.0,,-2400.0,3.5,103.0,-3.5,-135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'player': 'Jordan Beck', 'market': 'batter_hits', 'line': 3.5, 'odds': 1400}, {'player': 'Thairo Estrada', 'market': 'batter_hits', 'line': 3.5, 'odds': 1400}, {'player': 'Ronny Mauricio', 'market': 'batter_hits', 'line': 3.5, 'odds': 4500}, {'player': 'Juan Soto', 'market': 'batter_hits', 'line': 0.5, 'odds': 134}, {'player': 'Pete Alonso', 'market': 'batter_hits', 'line': 0.5, 'odds': 148}, {'player': 'Luis Torrens', 'market': 'batter_hits', 'line': 0.5, 'odds': 182}, {'player': 'Kyle Farmer', 'market': 'batter_hits', 'line': 0.5, 'odds': 260}, {'player': 'Brenton Doyle', 'market': 'batter_hits', 'line': 0.5, 'odds': 270}, {'player': 'Brandon Nimmo', 'market': 'batter_hits', 'line': 1.5, 'odds': 110}, {'player': 'Hunter Goodman', 'market': 'batter_hits', 'line': 1.5, 'odds': 150}, {'player': 'Brett Baty', 'market': 'batter_hits', 'line': 1.5, 'odds': 200}, {'player': 'Ryan McMahon', 'market': 'batter_hits', 'line': 1.5, 'odds': 210}, {'player': 'Tyler Freeman', 'market': 'batter_hits', 'line': 1.5, 'odds': 240}, {'player': 'Sam Hilliard', 'market': 'batter_hits', 'line': 1.5, 'odds': 340}, {'player': 'Jordan Beck', 'market': 'batter_hits', 'line': 2.5, 'odds': 125}, {'player': 'Thairo Estrada', 'market': 'batter_hits', 'line': 2.5, 'odds': 130}, {'player': 'Ronny Mauricio', 'market': 'batter_hits', 'line': 2.5, 'odds': 230}, {'player': 'Brandon Nimmo', 'market': 'batter_hits', 'line': 2.5, 'odds': 1100}, {'player': 'Hunter Goodman', 'market': 'batter_hits', 'line': 2.5, 'odds': 1500}, {'player': 'Ryan McMahon', 'market': 'batter_hits', 'line': 2.5, 'odds': 2400}, {'player': 'Brett Baty', 'market': 'batter_hits', 'line': 2.5, 'odds': 2800}, {'player': 'Pete Alonso', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 700}, {'player': 'Juan Soto', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 750}, {'player': 'Brandon Nimmo', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 950}, {'player': 'Hunter Goodman', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 1100}, {'player': 'Jordan Beck', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 1300}, {'player': 'Luis Torrens', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 1500}, {'player': 'Brett Baty', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 1800}, {'player': 'Sam Hilliard', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 2200}, {'player': 'Brenton Doyle', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 2500}, {'player': 'Thairo Estrada', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 2900}, {'player': 'Kyle Farmer', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 2900}, {'player': 'Tyler Freeman', 'market': 'batter_home_runs', 'line': 0.5, 'odds': 3700}, {'player': 'Ryan McMahon', 'market': 'batter_home_runs', 'line': 1.5, 'odds': 1700}, {'player': 'Ronny Mauricio', 'market': 'batter_home_runs', 'line': 1.5, 'odds': 2200}, {'player': 'Pete Alonso', 'market': 'batter_home_runs', 'line': 1.5, 'odds': 14000}, {'player': 'Juan Soto', 'market': 'batter_home_runs', 'line': 1.5, 'odds': 14000}]",2025-06-08
74ca56491133d50e6a27334a41efaae6,St. Louis Cardinals,Los Angeles Dodgers,2025-06-08 18:16:00+00:00,,,,,,,,,9.0,-115,9.0,-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-144.0,,118.0,-1.5,119.0,1.5,-139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'player': 'Michael McGreevy', 'market': 'pitcher_strikeouts', 'line': 3.5, 'odds': -116}, {'player': 'Michael McGreevy', 'market': 'pitcher_strikeouts', 'line': 3.5, 'odds': -110}, {'player': 'Clayton Kershaw', 'market': 'pitcher_strikeouts', 'line': 3.5, 'odds': -114}, {'player': 'Clayton Kershaw', 'market': 'pitcher_strikeouts', 'line': 3.5, 'odds': -118}, {'player': 'Clayton Kershaw', 'market': 'pitcher_strikeouts', 'line': 3.5, 'odds': -125}, {'player': 'Clayton Kershaw', 'market': 'pitcher_strikeouts', 'line': 3.5, 'odds': -105}]","[{'player': 'Shohei Ohtani', 'market': 'batter_hits', 'line': 0.5, 'odds': -350}, {'player': 'Freddie Freeman', 'market': 'batter_hits', 'line': 0.5, 'odds': -350}, {'player': 'Mookie Betts', 'market': 'batter_hits', 'line': 0.5, 'odds': -280}, {'player': 'Teoscar Hernandez', 'market': 'batter_hits', 'line': 0.5, 'odds': -260}, {'player': 'Andy Pages', 'market': 'batter_hits', 'line': 0.5, 'odds': -260}, {'player': 'Will Smith', 'market': 'batter_hits', 'line': 0.5, 'odds': -260}, {'player': 'Brendan Donovan', 'market': 'batter_hits', 'line': 0.5, 'odds': -250}, {'player': 'Masyn Winn', 'market': 'batter_hits', 'line': 0.5, 'odds': -240}, {'player': 'Lars Nootbaar', 'market': 'batter_hits', 'line': 0.5, 'odds': -230}, {'player': 'Ivan Herrera', 'market': 'batter_hits', 'line': 0.5, 'odds': -230}, {'player': 'Nolan Arenado', 'market': 'batter_hits', 'line': 0.5, 'odds': -230}, {'player': 'Tommy Edman', 'market': 'batter_hits', 'line': 0.5, 'odds': -210}, {'player': 'Alec Burleson', 'market': 'batter_hits', 'line': 0.5, 'odds': -210}, {'player': 'Willson Contreras', 'market': 'batter_hits', 'line': 0.5, 'odds': -210}, {'player': 'Ryan Vilade', 'market': 'batter_hits', 'line': 0.5, 'odds': -185}, {'player': 'Max Muncy', 'market': 'batter_hits', 'line': 0.5, 'odds': -170}, {'player': 'Michael Conforto', 'market': 'batter_hits', 'line': 0.5, 'odds': -165}, {'player': 'Victor Scott II', 'market': 'batter_hits', 'line': 0.5, 'odds': -140}, {'player': 'Shohei Ohtani', 'market': 'batter_hits', 'line': 1.5, 'odds': 140}, {'player': 'Shohei Ohtani', 'market': 'batter_hits', 'line': 1.5, 'odds': -190}, {'player': 'Freddie Freeman', 'market': 'batter_hits', 'line': 1.5, 'odds': 160}, {'player': 'Freddie Freeman', 'market': 'batter_hits', 'line': 1.5, 'odds': -215}, {'player': 'Mookie Betts', 'market': 'batter_hits', 'line': 1.5, 'odds': 170}, {'player': 'Mookie Betts', 'market': 'batter_hits', 'line': 1.5, 'odds': -235}, {'player': 'Andy Pages', 'market': 'batter_hits', 'line': 1.5, 'odds': 190}, {'player': 'Andy Pages', 'market': 'batter_hits', 'line': 1.5, 'odds': -260}, {'player': 'Teoscar Hernandez', 'market': 'batter_hits', 'line': 1.5, 'odds': 200}, {'player': 'Teoscar Hernandez', 'market': 'batter_hits', 'line': 1.5, 'odds': -275}, {'player': 'Will Smith', 'market': 'batter_hits', 'line': 0.5, 'odds': -250}, {'player': 'Will Smith', 'market': 'batter_hits', 'line': 0.5, 'odds': 185}, {'player': 'Tommy Edman', 'market': 'batter_hits', 'line': 0.5, 'odds': -220}, {'player': 'Tommy Edman', 'market': 'batter_hits', 'line': 0.5, 'odds': 160}, {'player': 'Max Muncy', 'market': 'batter_hits', 'line': 0.5, 'odds': -180}, {'player': 'Max Muncy', 'market': 'batter_hits', 'line': 0.5, 'odds': 135}, {'player': 'Michael Conforto', 'market': 'batter_hits', 'line': 0.5, 'odds': -165}, {'player': 'Michael Conforto', 'market': 'batter_hits', 'line': 0.5, 'odds': 120}]",2025-06-08
9927cd693c7f729cb9cb12157743866b,Cleveland Guardians,Houston Astros,2025-06-08 17:41:00+00:00,,,,,,,,,8.0,100,8.0,-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-145.0,,131.0,-1.5,145.0,1.5,-165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-08
