game_date,player,line,odds,predicted_SO,edge,bet_recommendation
2025-06-03,andre pallante,3.5,-108,4.418186063860501,0.9181860638605013,✅ Over
2025-06-03,bowden francis,4.5,-106,2.228278640495073,-2.271721359504927,✅ Under
2025-06-03,brayan bello,5.5,110,3.323059227193309,-2.176940772806691,✅ Under
2025-06-03,cade horton,3.5,-142,3.5822741460109344,0.08227414601093441,❌ No Bet
2025-06-03,carlos rodon,6.5,-128,8.972036972461373,2.472036972461373,✅ Over
2025-06-03,chase dollander,4.5,114,3.5934227665678797,-0.9065772334321203,✅ Under
2025-06-04,clayton kershaw,3.5,-164,1.1,-2.4,✅ Under
2025-06-03,cristopher sanchez,4.5,-142,5.635218204210766,1.1352182042107657,✅ Over
2025-06-03,drew rasmussen,4.5,-118,3.085699751143517,-1.4143002488564829,✅ Under
2025-06-03,freddy peralta,5.5,-148,4.533612910009936,-0.9663870899900644,✅ Under
2025-06-04,george kirby,5.5,-104,4.369971790485479,-1.1300282095145207,✅ Under
2025-06-03,hunter greene,6.5,-102,6.29471052756402,-0.20528947243597973,❌ No Bet
2025-06-03,lance mccullers jr.,5.5,106,2.516782886291623,-2.983217113708377,✅ Under
2025-06-04,landen roupp,3.5,-144,5.4256333979674345,1.9256333979674345,✅ Over
2025-06-03,michael lorenzen,3.5,-122,3.3302422873025987,-0.16975771269740125,❌ No Bet
2025-06-04,pablo lopez,6.5,100,5.472165740958661,-1.027834259041339,✅ Under
2025-06-03,paul skenes,6.5,100,6.342543682909486,-0.15745631709051366,❌ No Bet
2025-06-03,sandy alcantara,5.5,-140,2.3498304526762994,-3.1501695473237006,✅ Under
2025-06-03,shane smith,4.5,-166,5.643229073775983,1.1432290737759834,✅ Over
2025-06-03,spencer strider,6.5,-118,4.370828784541974,-2.129171215458026,✅ Under
2025-06-03,tanner bibee,5.5,118,5.497653350858408,-0.0023466491415922164,❌ No Bet
2025-06-04,tomoyuki sugano,3.5,-158,3.162452196131251,-0.33754780386874916,❌ No Bet
2025-06-03,trevor williams,3.5,-154,3.090997023681446,-0.4090029763185541,❌ No Bet
2025-06-03,tyler mahle,4.5,-122,4.408757966471156,-0.09124203352884397,❌ No Bet
2025-06-04,tylor megill,5.5,102,7.707658395708889,2.207658395708889,✅ Over
2025-06-03,yusei kikuchi,5.5,-150,3.286392560526642,-2.213607439473358,✅ Under
2025-06-03,zac gallen,5.5,122,3.323059227193309,-2.176940772806691,✅ Under
