Rk,Player,SO,"App,Dec",IP,Date,Age,Team,Unnamed: 8,Opp,Result,"App,Dec.1",IP.1,H,R,ER,UER,HR,BB,IBB,SO.1,HBP,BK,WP,BF,BR,Pos
1,Tarik Skubal,13,"SHO, W",9.0,2025-05-25,28-186,DET,,CLE,"W, 5-0","SHO, W",9.0,2,0,0,0,0,0,0,13,1,0,0,29,3,P
2,Lance McCullers Jr.,12,GS-6,6.0,2025-05-28,31-238,HOU,,ATH,"W, 5-3",GS-6,6.0,5,3,3,0,1,1,0,12,0,0,0,24,6,P
3,Garrett Crochet,11,"GS-7, L",6.2,2025-05-26,25-339,BOS,@,MIL,"L, 2-3","GS-7, L",6.2,5,2,2,0,1,2,0,11,0,0,0,27,7,P
4,Spencer Schwellenbach,11,"GS-7, L",7.0,2025-05-25,24-359,ATL,,SDP,"L, 3-5","GS-7, L",7.0,7,4,2,2,2,0,0,11,0,0,0,28,8,P
5,Edward Cabrera,10,"GS-6, W",5.2,2025-05-25,27-042,MIA,@,LAA,"W, 3-0","GS-6, W",5.2,3,0,0,0,0,2,0,10,0,0,0,21,5,P
6,Jesús Luzardo,10,GS-7,7.0,2025-05-25,27-237,PHI,@,ATH,"L, 4-5",GS-7,7.0,9,3,3,0,1,1,0,10,0,0,0,31,10,P
7,Carlos Rodón,10,"GS-7, W",7.0,2025-05-27,32-168,NYY,@,LAA,"W, 3-2","GS-7, W",7.0,5,0,0,0,0,0,0,10,0,0,0,26,5,P
8,Logan Webb,10,"GS-6, L",6.0,2025-05-27,28-190,SFG,@,DET,"L, 1-3","GS-6, L",6.0,7,3,3,0,1,1,0,10,0,0,0,26,8,P
9,José Berríos,9,"GS-6, W",6.0,2025-05-29,31-002,TOR,,ATH,"W, 12-0","GS-6, W",6.0,2,0,0,0,0,2,0,9,0,0,0,21,4,P
10,Kris Bubic,9,GS-7,7.0,2025-05-25,27-279,KCR,@,MIN,"W, 2-1 (10)",GS-7,7.0,2,1,1,0,0,2,0,9,0,0,0,24,4,P
11,Dustin May,9,"GS-5, W",5.0,2025-05-27,27-263,LAD,@,CLE,"W, 9-5","GS-5, W",5.0,4,3,3,0,1,2,0,9,0,0,0,20,6,P
12,Cade Povich,9,"GS-5, L",4.2,2025-05-28,25-046,BAL,,STL,"L, 4-6","GS-5, L",4.2,8,5,5,0,1,3,0,9,0,0,1,24,11,P
13,Matthew Boyd,8,"GS-6, W",6.0,2025-05-28,34-115,CHC,,COL,"W, 2-1","GS-6, W",6.0,4,1,0,1,0,0,0,8,0,0,0,21,4,P
14,Hunter Brown,8,"GS-6, W",6.0,2025-05-27,26-271,HOU,,ATH,"W, 11-1","GS-6, W",6.0,6,1,1,0,1,0,0,8,0,0,0,21,6,P
15,Dylan Cease,8,GS-5,5.0,2025-05-25,29-148,SDP,@,ATL,"W, 5-3",GS-5,5.0,6,3,3,0,0,1,0,8,0,0,1,20,7,P
16,Jack Flaherty,8,"GS-6, W",6.0,2025-05-27,29-224,DET,,SFG,"W, 3-1","GS-6, W",6.0,2,0,0,0,0,1,0,8,1,0,0,21,4,P
17,MacKenzie Gore,8,GS-6,6.0,2025-05-29,26-094,WSN,@,SEA,"W, 9-3 (10)",GS-6,6.0,4,0,0,0,0,0,0,8,1,0,1,22,5,P
18,Chris Sale,8,"GS-6, W",6.0,2025-05-29 (2),36-060,ATL,@,PHI,"W, 9-3","GS-6, W",6.0,2,0,0,0,0,3,0,8,1,0,0,24,6,P
19,Ranger Suárez,8,"GS-6, W",6.0,2025-05-27,29-274,PHI,,ATL,"W, 2-0","GS-6, W",6.0,4,0,0,0,0,3,0,8,0,0,0,26,8,P
20,Tanner Bibee,7,"GS-5, L",5.0,2025-05-27,26-083,CLE,,LAD,"L, 5-9","GS-5, L",5.0,7,4,4,0,1,3,1,7,0,0,0,23,10,P
21,Andre Pallante,7,GS-6,5.2,2025-05-27,26-251,STL,@,BAL,"W, 7-4",GS-6,5.2,6,4,3,1,1,3,0,7,0,1,1,27,9,P
22,Robbie Ray,7,"GS-6, W",6.0,2025-05-25,33-236,SFG,@,WSN,"W, 3-2","GS-6, W",6.0,3,1,1,0,0,0,0,7,0,0,1,21,3,P
23,Landen Roupp,7,"GS-5, L",4.0,2025-05-28,26-260,SFG,@,DET,"L, 3-4","GS-5, L",4.0,5,4,1,3,0,2,0,7,1,0,0,21,9,P
24,Paul Skenes,7,"GS-7, W",6.2,2025-05-28,22-364,PIT,@,ARI,"W, 10-1","GS-7, W",6.2,4,0,0,0,0,0,0,7,1,0,0,26,6,P
25,Spencer Strider,7,"GS-5, L",4.2,2025-05-27,26-211,ATL,@,PHI,"L, 0-2","GS-5, L",4.2,1,1,1,0,0,4,0,7,1,0,0,20,6,P
26,Jameson Taillon,7,"GS-7, W",6.1,2025-05-26,33-189,CHC,,COL,"W, 3-1","GS-7, W",6.1,4,1,1,0,1,0,0,7,0,0,0,23,4,P
27,Will Warren,7,GS-4,4.0,2025-05-25,25-343,NYY,@,COL,"W, 5-4",GS-4,4.0,2,2,2,0,0,2,0,7,0,0,1,16,4,P
28,Yoshinobu Yamamoto,7,"GS-6, W",6.0,2025-05-26,26-282,LAD,@,CLE,"W, 7-2","GS-6, W",6.0,3,2,2,0,0,2,0,7,0,0,1,23,6,P
29,Ryan Yarbrough,7,"GS-6, W",6.0,2025-05-26,33-146,NYY,@,LAA,"W, 5-1","GS-6, W",6.0,2,1,1,0,1,1,0,7,0,0,0,21,3,P
30,Hayden Birdsong,6,"GS-5, L",4.1,2025-05-26,23-269,SFG,@,DET,"L, 1-3","GS-5, L",4.1,5,3,3,0,0,2,0,6,0,0,1,20,7,P
