Rk,Player,AppDec,IP,Date,Age,Team,Unnamed: 7,Opp,Result,AppDec.1,IP.1,H,R,ER,UER,HR,BB,IBB,SO,HBP,BK,WP,BF,BR,Pos,Player-additional,"App,Dec",Unnamed: 8,"App,Dec.1",SO.1
1,Nathan Eovaldi,SHO W,9.0,2025-04-01,35-047,TEX,@,CIN,W 1-0,SHO W,9.0,4,0,0,0,0,0,0,8,0,0,1,30,4,P,eovalna01,,,,
2,Erick Fedde,SHO W,9.0,2025-05-09,32-073,STL,@,WSN,W 10-0,SHO W,9.0,6,0,0,0,0,0,0,8,0,0,0,31,6,P,feddeer01,,,,
3,Michael King,SHO W,9.0,2025-04-13,29-323,SDP,,COL,W 6-0,SHO W,9.0,2,0,0,0,0,1,0,8,0,0,0,29,3,P,kingmi01,,,,
4,Stephen Kolek,SHO W,9.0,2025-05-10,28-022,SDP,@,COL,W 21-0,SHO W,9.0,5,0,0,0,0,2,0,7,0,0,0,32,7,P,kolekst01,,,,
5,Tarik Skubal,SHO W,9.0,2025-05-25,28-186,DET,,CLE,W 5-0,SHO W,9.0,2,0,0,0,0,0,0,13,1,0,0,29,3,P,skubata01,,,,
6,Hunter Greene,GS-9 W,8.2,2025-04-07,25-244,CIN,@,SFG,W 2-0,GS-9 W,8.2,4,0,0,0,0,1,0,7,0,0,1,31,6,P,greenhu01,,,,
7,Ronel Blanco,GS-8 W,8.0,2025-05-11,31-253,HOU,,CIN,W 6-0,GS-8 W,8.0,2,0,0,0,0,1,0,11,0,0,0,27,3,P,blancro01,,,,
8,Hunter Brown,CG(8) L,8.0,2025-05-15,26-259,HOU,@,TEX,L 0-1,CG(8) L,8.0,3,1,1,0,1,0,0,9,0,0,0,27,3,P,brownhu01,,,,
9,Garrett Crochet,GS-8 W,8.0,2025-04-02,25-285,BOS,@,BAL,W 3-0,GS-8 W,8.0,4,0,0,0,0,1,0,8,0,0,0,27,5,P,crochga01,,,,
10,Jacob deGrom,GS-8 W,8.0,2025-05-15,36-330,TEX,,HOU,W 1-0,GS-8 W,8.0,5,0,0,0,0,1,0,7,0,0,0,30,6,P,degroja01,,,,
11,Kevin Gausman,GS-8,8.0,2025-04-09,34-093,TOR,@,BOS,W 2-1 (11),GS-8,8.0,4,1,0,1,0,0,0,10,0,0,0,27,4,P,gausmke01,,,,
12,Jake Irvin,GS-8 W,8.0,2025-05-24,28-095,WSN,,SFG,W 3-0,GS-8 W,8.0,3,0,0,0,0,2,0,7,0,0,0,29,6,P,irvinja01,,,,
13,Seth Lugo,GS-8 W,8.0,2025-04-25,35-159,KCR,,HOU,W 2-0,GS-8 W,8.0,3,0,0,0,0,1,0,8,0,0,0,27,4,P,lugose01,,,,
14,Keider Montero,GS-8 W,8.0,2025-05-08 (2),24-306,DET,@,COL,W 11-1,GS-8 W,8.0,5,1,1,0,0,3,0,2,1,0,0,29,9,P,monteke01,,,,
15,Mitchell Parker,GS-8 W,8.0,2025-04-22,25-207,WSN,,BAL,W 7-0,GS-8 W,8.0,1,0,0,0,0,2,0,4,0,0,0,27,3,P,parkemi01,,,,
16,Freddy Peralta,GS-8,8.0,2025-04-02,28-302,MIL,,KCR,W 3-2 (11),GS-8,8.0,2,1,1,0,0,0,0,8,0,0,0,26,2,P,peralfr01,,,,
17,Spencer Schwellenbach,GS-8 W,8.0,2025-04-04,24-308,ATL,,MIA,W 10-0,GS-8 W,8.0,2,0,0,0,0,0,0,10,0,0,0,26,2,P,schwesp01,,,,
18,Luis Severino,GS-8 W,8.0,2025-04-19,31-058,ATH,@,MIL,W 3-1,GS-8 W,8.0,3,1,1,0,0,0,0,1,0,0,0,27,3,P,severlu01,,,,
