Rk,Team,Date,HR,Unnamed: 4,Opp,Result,PA,AB,R,H,1B,2B,3B,HR.1,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Unnamed: 3
1,NYY,2025-03-29,9,,MIL,W 20-9,51,40,20,16,5,2,0,9.0,20,0,0,8,5,0.4,0.51,1.125,1.635,45,0,2,0,1,0,
2,KCR,2025-05-04,7,@,BAL,W 11-6,44,43,11,17,7,3,0,7.0,11,1,0,1,6,0.395,0.409,0.953,1.363,41,1,0,0,0,0,
3,LAA,2025-04-10,6,@,TBR,W 11-1,42,40,11,14,6,2,0,6.0,11,0,0,1,5,0.35,0.366,0.85,1.216,34,1,0,0,0,0,
4,BAL,2025-03-27,6,@,TOR,W 12-2,45,39,12,14,7,1,0,6.0,12,0,1,5,8,0.359,0.444,0.846,1.291,33,0,1,0,0,0,
5,NYY,2025-04-29,6,@,BAL,W 15-3,54,48,15,19,9,4,0,6.0,14,0,0,4,9,0.396,0.463,0.854,1.317,41,0,2,0,0,0,
6,ARI,2025-05-09,5,,LAD,L 11-14,45,38,11,11,4,2,0,5.0,11,0,0,6,6,0.289,0.4,0.737,1.137,28,0,1,0,0,1,
7,BAL,2025-04-19,5,,CIN,W 9-5,43,34,9,11,4,2,0,5.0,9,0,0,7,7,0.324,0.465,0.824,1.289,28,1,2,0,0,0,
8,BOS,2025-04-29,5,@,TOR,W 10-2,44,40,10,14,8,1,0,5.0,10,0,0,3,5,0.35,0.409,0.75,1.159,30,1,1,0,0,0,
9,CHC,2025-04-18,5,,ARI,W 13-11,44,41,13,18,9,3,1,5.0,13,0,0,2,8,0.439,0.477,0.927,1.404,38,1,1,0,0,0,
10,COL,2025-05-17,5,@,ARI,W 14-12,49,44,14,19,9,3,2,5.0,14,1,1,5,7,0.432,0.49,0.932,1.422,41,0,0,0,0,0,
11,DET,2025-05-02,5,@,LAA,W 9-1,41,39,9,14,8,1,0,5.0,8,0,0,2,8,0.359,0.39,0.769,1.159,30,2,0,0,0,0,
