Rk,Team,Date,SO,Unnamed: 4,Opp,Result,IP,H,R,ER,UER,HR,BB,IBB,SO.1,HBP,BK,WP,BF,BR
1,HOU,2025-04-08,19,@,SEA,W 2-1 (12),12.0,5,1,1,0,0,3,0,19,1,0,1,44,9
2,TOR,2025-04-16,19,,ATL,W 3-1,9.0,5,1,1,0,1,3,0,19,0,0,2,35,8
3,WSN,2025-03-27,19,,PHI,L 3-7 (10),10.0,8,7,6,1,2,6,0,19,0,0,1,43,14
4,HOU,2025-05-28,18,,ATH,W 5-3,9.0,6,3,3,0,1,3,0,18,0,0,0,36,9
5,MIN,2025-05-24,18,,KCR,W 5-4,9.0,11,4,4,0,0,4,0,18,1,0,0,43,16
6,TOR,2025-04-20,18,,SEA,L 3-8,9.0,12,8,8,0,3,2,0,18,1,0,1,42,15
7,ATL,2025-05-06,17,,CIN,W 2-1 (10),10.0,7,1,1,0,0,3,0,17,1,0,0,41,11
8,CIN,2025-05-02,17,,WSN,W 6-1,9.0,4,1,1,0,1,4,0,17,0,0,0,34,8
9,CIN,2025-03-27,17,,SFG,L 4-6,9.0,6,6,6,0,2,2,0,17,0,0,1,35,8
10,KCR,2025-04-02,17,@,MIL,L 2-3 (11),10.1,8,3,1,2,1,7,2,17,0,1,1,46,15
11,MIN,2025-05-06,17,,BAL,W 9-1,9.0,3,1,1,0,0,3,0,17,0,0,0,33,6
12,SDP,2025-04-25,17,,TBR,L 0-1,9.0,6,1,0,1,0,1,0,17,0,0,0,35,8
13,WSN,2025-04-19,17,@,COL,W 12-11,9.0,8,11,11,0,1,6,0,17,2,0,1,44,16
14,ARI,2025-04-24,16,,TBR,L 4-7 (10),10.0,9,7,4,3,1,3,0,16,0,0,0,44,14
15,ARI,2025-04-17,16,@,MIA,W 6-4,9.0,13,4,2,2,0,4,0,16,0,0,3,46,18
16,ARI,2025-04-05,16,@,WSN,L 3-4,8.0,6,4,4,0,0,2,0,16,0,0,0,30,8
17,ARI,2025-04-02,16,@,NYY,W 4-3,9.0,6,3,3,0,1,0,0,16,0,0,1,34,6
18,BAL,2025-05-28,16,,STL,L 4-6,9.0,12,6,6,0,1,5,0,16,0,0,1,43,17
19,MIA,2025-04-17,16,,ARI,L 4-6,9.0,5,6,6,0,2,9,0,16,1,1,1,43,15
20,HOU,2025-04-13,16,,LAA,W 7-3,9.0,9,3,3,0,3,0,0,16,1,0,0,37,10
21,HOU,2025-04-02,16,,SFG,L 3-6,9.0,6,6,6,0,3,5,0,16,0,0,1,38,11
22,LAD,2025-04-16,16,,COL,W 8-7,9.0,11,7,7,0,2,1,0,16,0,0,0,39,12
23,LAD,2025-03-28,16,,DET,W 8-5 (10),10.0,10,5,4,1,2,5,1,16,0,0,0,44,15
24,MIN,2025-05-16,16,@,MIL,W 3-0,9.0,5,0,0,0,0,1,0,16,1,0,0,34,7
