Rk,Team,Date,HR,Unnamed: 4,Opp,Result,PA,AB,R,H,1B,2B,3B,HR.1,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Unnamed: 3
1,NYY,2025-03-29,9.0,,MIL,W 20-9,51.0,40.0,20.0,16.0,5.0,2.0,0.0,9.0,20.0,0.0,0.0,8.0,5.0,0.4,0.51,1.125,1.635,45.0,0.0,2.0,0.0,1.0,0.0,
2,KCR,2025-05-04,7.0,@,BAL,W 11-6,44.0,43.0,11.0,17.0,7.0,3.0,0.0,7.0,11.0,1.0,0.0,1.0,6.0,0.395,0.409,0.953,1.363,41.0,1.0,0.0,0.0,0.0,0.0,
3,LAA,2025-04-10,6.0,@,TBR,W 11-1,42.0,40.0,11.0,14.0,6.0,2.0,0.0,6.0,11.0,0.0,0.0,1.0,5.0,0.35,0.366,0.85,1.216,34.0,1.0,0.0,0.0,0.0,0.0,
4,BAL,2025-03-27,6.0,@,TOR,W 12-2,45.0,39.0,12.0,14.0,7.0,1.0,0.0,6.0,12.0,0.0,1.0,5.0,8.0,0.359,0.444,0.846,1.291,33.0,0.0,1.0,0.0,0.0,0.0,
5,NYY,2025-04-29,6.0,@,BAL,W 15-3,54.0,48.0,15.0,19.0,9.0,4.0,0.0,6.0,14.0,0.0,0.0,4.0,9.0,0.396,0.463,0.854,1.317,41.0,0.0,2.0,0.0,0.0,0.0,
6,ARI,2025-05-09,5.0,,LAD,L 11-14,45.0,38.0,11.0,11.0,4.0,2.0,0.0,5.0,11.0,0.0,0.0,6.0,6.0,0.289,0.4,0.737,1.137,28.0,0.0,1.0,0.0,0.0,1.0,
7,BAL,2025-04-19,5.0,,CIN,W 9-5,43.0,34.0,9.0,11.0,4.0,2.0,0.0,5.0,9.0,0.0,0.0,7.0,7.0,0.324,0.465,0.824,1.289,28.0,1.0,2.0,0.0,0.0,0.0,
8,BOS,2025-04-29,5.0,@,TOR,W 10-2,44.0,40.0,10.0,14.0,8.0,1.0,0.0,5.0,10.0,0.0,0.0,3.0,5.0,0.35,0.409,0.75,1.159,30.0,1.0,1.0,0.0,0.0,0.0,
9,CHC,2025-04-18,5.0,,ARI,W 13-11,44.0,41.0,13.0,18.0,9.0,3.0,1.0,5.0,13.0,0.0,0.0,2.0,8.0,0.439,0.477,0.927,1.404,38.0,1.0,1.0,0.0,0.0,0.0,
10,COL,2025-05-17,5.0,@,ARI,W 14-12,49.0,44.0,14.0,19.0,9.0,3.0,2.0,5.0,14.0,1.0,1.0,5.0,7.0,0.432,0.49,0.932,1.422,41.0,0.0,0.0,0.0,0.0,0.0,
11,DET,2025-05-02,5.0,@,LAA,W 9-1,41.0,39.0,9.0,14.0,8.0,1.0,0.0,5.0,8.0,0.0,0.0,2.0,8.0,0.359,0.39,0.769,1.159,30.0,2.0,0.0,0.0,0.0,0.0,
12,LAD,2025-05-15,5.0,,ATH,W 19-2,50.0,40.0,19.0,18.0,11.0,2.0,0.0,5.0,19.0,2.0,0.0,8.0,6.0,0.45,0.52,0.875,1.395,35.0,0.0,0.0,0.0,2.0,0.0,
13,ATH,2025-05-13,5.0,@,LAD,W 11-1,45.0,43.0,11.0,18.0,10.0,3.0,0.0,5.0,11.0,0.0,1.0,1.0,11.0,0.419,0.444,0.837,1.282,36.0,2.0,1.0,0.0,0.0,0.0,
14,SDP,2025-05-10,5.0,@,COL,W 21-0,56.0,50.0,21.0,24.0,14.0,4.0,1.0,5.0,20.0,0.0,0.0,5.0,4.0,0.48,0.518,0.9,1.418,45.0,0.0,0.0,0.0,1.0,0.0,
15,TEX,2025-05-10,5.0,@,DET,W 10-3,43.0,36.0,10.0,10.0,4.0,1.0,0.0,5.0,10.0,1.0,0.0,6.0,9.0,0.278,0.372,0.722,1.094,26.0,0.0,0.0,0.0,1.0,0.0,
16,WSN,2025-05-18,5.0,@,BAL,W 10-4,40.0,38.0,10.0,13.0,5.0,3.0,0.0,5.0,10.0,1.0,1.0,0.0,10.0,0.342,0.35,0.816,1.166,31.0,0.0,1.0,0.0,1.0,0.0,
17,LAA,2025-05-21,4.0,@,ATH,W 10-5,42.0,38.0,10.0,14.0,5.0,4.0,1.0,4.0,9.0,2.0,0.0,3.0,8.0,0.368,0.415,0.842,1.257,32.0,1.0,0.0,1.0,0.0,0.0,
18,LAA,2025-04-09,4.0,@,TBR,L 4-5,39.0,34.0,4.0,7.0,3.0,0.0,0.0,4.0,4.0,1.0,0.0,5.0,8.0,0.206,0.308,0.559,0.867,19.0,0.0,0.0,0.0,0.0,0.0,
