Rk,Team,Date,SO,Unnamed: 4,Opp,Result,IP,H,R,ER,UER,HR,BB,IBB,SO.1,HBP,BK,WP,BF,BR,Wind Speed,Temp,Unnamed: 6
1,HOU,2025-04-08,19.0,@,SEA,W 2-1 (12),12.0,5.0,1.0,1.0,0.0,0.0,3.0,0.0,19.0,1.0,0.0,1.0,44.0,9.0,,,
2,TOR,2025-04-16,19.0,,ATL,W 3-1,9.0,5.0,1.0,1.0,0.0,1.0,3.0,0.0,19.0,0.0,0.0,2.0,35.0,8.0,,,
3,WSN,2025-03-27,19.0,,PHI,L 3-7 (10),10.0,8.0,7.0,6.0,1.0,2.0,6.0,0.0,19.0,0.0,0.0,1.0,43.0,14.0,,,
4,HOU,2025-05-28,18.0,,ATH,W 5-3,9.0,6.0,3.0,3.0,0.0,1.0,3.0,0.0,18.0,0.0,0.0,0.0,36.0,9.0,,,
5,MIN,2025-05-24,18.0,,KCR,W 5-4,9.0,11.0,4.0,4.0,0.0,0.0,4.0,0.0,18.0,1.0,0.0,0.0,43.0,16.0,,,
6,TOR,2025-04-20,18.0,,SEA,L 3-8,9.0,12.0,8.0,8.0,0.0,3.0,2.0,0.0,18.0,1.0,0.0,1.0,42.0,15.0,,,
7,ATL,2025-05-06,17.0,,CIN,W 2-1 (10),10.0,7.0,1.0,1.0,0.0,0.0,3.0,0.0,17.0,1.0,0.0,0.0,41.0,11.0,,,
8,CIN,2025-05-02,17.0,,WSN,W 6-1,9.0,4.0,1.0,1.0,0.0,1.0,4.0,0.0,17.0,0.0,0.0,0.0,34.0,8.0,,,
9,CIN,2025-03-27,17.0,,SFG,L 4-6,9.0,6.0,6.0,6.0,0.0,2.0,2.0,0.0,17.0,0.0,0.0,1.0,35.0,8.0,,,
10,KCR,2025-04-02,17.0,@,MIL,L 2-3 (11),10.1,8.0,3.0,1.0,2.0,1.0,7.0,2.0,17.0,0.0,1.0,1.0,46.0,15.0,,,
11,MIN,2025-05-06,17.0,,BAL,W 9-1,9.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,17.0,0.0,0.0,0.0,33.0,6.0,,,
12,SDP,2025-04-25,17.0,,TBR,L 0-1,9.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,35.0,8.0,,,
13,WSN,2025-04-19,17.0,@,COL,W 12-11,9.0,8.0,11.0,11.0,0.0,1.0,6.0,0.0,17.0,2.0,0.0,1.0,44.0,16.0,,,
14,ARI,2025-04-24,16.0,,TBR,L 4-7 (10),10.0,9.0,7.0,4.0,3.0,1.0,3.0,0.0,16.0,0.0,0.0,0.0,44.0,14.0,,,
15,ARI,2025-04-17,16.0,@,MIA,W 6-4,9.0,13.0,4.0,2.0,2.0,0.0,4.0,0.0,16.0,0.0,0.0,3.0,46.0,18.0,,,
16,ARI,2025-04-05,16.0,@,WSN,L 3-4,8.0,6.0,4.0,4.0,0.0,0.0,2.0,0.0,16.0,0.0,0.0,0.0,30.0,8.0,,,
17,ARI,2025-04-02,16.0,@,NYY,W 4-3,9.0,6.0,3.0,3.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,1.0,34.0,6.0,,,
18,BAL,2025-05-28,16.0,,STL,L 4-6,9.0,12.0,6.0,6.0,0.0,1.0,5.0,0.0,16.0,0.0,0.0,1.0,43.0,17.0,,,
19,MIA,2025-04-17,16.0,,ARI,L 4-6,9.0,5.0,6.0,6.0,0.0,2.0,9.0,0.0,16.0,1.0,1.0,1.0,43.0,15.0,,,
20,HOU,2025-04-13,16.0,,LAA,W 7-3,9.0,9.0,3.0,3.0,0.0,3.0,0.0,0.0,16.0,1.0,0.0,0.0,37.0,10.0,,,
21,HOU,2025-04-02,16.0,,SFG,L 3-6,9.0,6.0,6.0,6.0,0.0,3.0,5.0,0.0,16.0,0.0,0.0,1.0,38.0,11.0,,,
22,LAD,2025-04-16,16.0,,COL,W 8-7,9.0,11.0,7.0,7.0,0.0,2.0,1.0,0.0,16.0,0.0,0.0,0.0,39.0,12.0,,,
23,LAD,2025-03-28,16.0,,DET,W 8-5 (10),10.0,10.0,5.0,4.0,1.0,2.0,5.0,1.0,16.0,0.0,0.0,0.0,44.0,15.0,,,
24,MIN,2025-05-16,16.0,@,MIL,W 3-0,9.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,1.0,0.0,0.0,34.0,7.0,,,
25,NYM,2025-05-21,16.0,@,BOS,W 5-1,9.0,6.0,1.0,1.0,0.0,0.0,2.0,0.0,16.0,1.0,0.0,1.0,35.0,9.0,,,
26,PHI,2025-04-18,16.0,,MIA,W 7-2,9.0,5.0,2.0,2.0,0.0,1.0,2.0,0.0,16.0,0.0,0.0,0.0,34.0,7.0,,,
27,PIT,2025-05-23,16.0,,MIL,W 6-5 (10),10.0,11.0,5.0,4.0,1.0,1.0,6.0,0.0,16.0,0.0,0.0,0.0,46.0,17.0,,,
28,SDP,2025-05-12,16.0,,LAA,L 5-9,9.0,7.0,9.0,8.0,1.0,2.0,7.0,0.0,16.0,1.0,0.0,1.0,42.0,15.0,,,
29,SDP,2025-04-01,16.0,,CLE,W 7-0,9.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,16.0,2.0,0.0,0.0,34.0,7.0,,,
30,SFG,2025-05-28,16.0,@,DET,L 3-4,8.0,7.0,4.0,1.0,3.0,0.0,2.0,0.0,16.0,2.0,0.0,0.0,36.0,12.0,,,
31,SFG,2025-04-09,16.0,,CIN,W 8-6 (10),10.0,6.0,6.0,5.0,1.0,0.0,4.0,0.0,16.0,0.0,0.0,0.0,41.0,10.0,,,
32,TOR,2025-05-03,16.0,,CLE,L 3-5,9.0,4.0,5.0,5.0,0.0,2.0,3.0,0.0,16.0,0.0,0.0,0.0,34.0,7.0,,,
33,BAL,2025-04-28,15.0,,NYY,W 4-3,9.0,10.0,3.0,2.0,1.0,0.0,1.0,0.0,15.0,1.0,0.0,1.0,39.0,12.0,,,
34,CIN,2025-04-18,15.0,@,BAL,W 8-3,9.0,4.0,3.0,3.0,0.0,2.0,1.0,0.0,15.0,0.0,0.0,2.0,32.0,5.0,,,
35,CLE,2025-05-17,15.0,@,CIN,L 1-4,8.0,9.0,4.0,4.0,0.0,2.0,1.0,0.0,15.0,0.0,0.0,1.0,33.0,10.0,,,
36,CLE,2025-04-12,15.0,,KCR,W 6-3,9.0,6.0,3.0,3.0,0.0,1.0,2.0,0.0,15.0,0.0,0.0,0.0,35.0,8.0,,,
37,DET,2025-05-13,15.0,,BOS,W 10-9 (11),11.0,14.0,9.0,7.0,2.0,3.0,2.0,0.0,15.0,1.0,0.0,1.0,50.0,17.0,,,
38,DET,2025-04-27,15.0,,BAL,W 7-0,9.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,2.0,0.0,1.0,34.0,8.0,,,
39,MIA,2025-05-25,15.0,@,LAA,W 3-0,9.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,32.0,6.0,,,
