game_date,player,line,odds,predicted_SO,edge,bet_recommendation
2025-05-31,antonio senzatela,3.5,134,1.5755835028914114,-1.9244164971085886,✅ Under
2025-06-01,bailey falter,3.5,132,2.162250169558078,-1.337749830441922,✅ Under
2025-05-31,bailey ober,5.5,104,2.222250169558078,-3.277749830441922,✅ Under
2025-06-01,brandon pfaadt,4.5,-114,2.551875,-1.948125,✅ Under
2025-05-31,bryce miller,4.5,-118,3.8008979885057474,-0.6991020114942526,❌ No Bet
2025-05-31,chad patrick,4.5,122,1.702250169558078,-2.797749830441922,✅ Under
2025-05-31,colton gordon,4.5,112,2.5025400246305423,-1.9974599753694577,✅ Under
2025-05-31,davis martin,3.5,-106,1.7942313218390806,-1.7057686781609194,✅ Under
2025-05-31,dean kremer,4.5,-106,2.3792313218390806,-2.1207686781609194,✅ Under
2025-06-01,dylan cease,6.5,-156,3.9885170361247946,-2.5114829638752054,✅ Under
2025-05-31,edward cabrera,5.5,-102,2.6558733579638756,-2.8441266420361244,✅ Under
2025-05-31,gunnar hoglund,3.5,-110,1.7142313218390806,-1.7857686781609194,✅ Under
2025-05-31,jesus luzardo,6.5,107,2.507564655172414,-3.992435344827586,✅ Under
2025-05-31,kodai senga,7.5,-105,2.5022501695580783,-4.997749830441922,✅ Under
2025-05-31,kyle hendricks,3.5,-102,2.8089168362247454,-0.6910831637752546,❌ No Bet
2025-05-31,landon knack,4.5,-105,2.308916836224745,-2.191083163775255,✅ Under
2025-06-01,michael soroka,4.5,124,2.560208333333333,-1.9397916666666668,✅ Under
2025-05-31,michael wacha,4.5,104,1.9608979885057474,-2.5391020114942524,✅ Under
2025-05-31,nick lodolo,4.5,-130,2.3458979885057474,-2.1541020114942526,✅ Under
2025-05-31,patrick corbin,4.5,112,2.2758733579638757,-2.2241266420361243,✅ Under
2025-05-31,robbie ray,6.5,-130,3.888916836224745,-2.611083163775255,✅ Under
2025-05-31,slade cecconi,5.5,103,2.6792313218390804,-2.8207686781609196,✅ Under
2025-05-31,sonny gray,5.5,-156,2.5089168362247447,-2.9910831637752553,✅ Under
2025-05-31,spencer schwellenbach,6.5,118,2.449206691297209,-4.050793308702791,✅ Under
2025-05-31,tarik skubal,6.5,-130,2.686875,-3.813125,✅ Under
2025-05-31,walker buehler,4.5,118,1.682250169558078,-2.817749830441922,✅ Under
2025-05-31,will warren,5.5,141,2.274893847718998,-3.225106152281002,✅ Under
2025-05-31,zack littell,3.5,-122,2.0489168362247443,-1.4510831637752557,✅ Under
